TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd01,Rsvd02,Rsvd03,Rsvd04
2024-02-08,2024-02-08,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,4605.00,4605.00,4441.45,4450.65,4463.95,4571.55,,4450.40,,,4152,18760504.00,1085,F1,1,,,,,
2024-02-08,2024-02-08,CM,BSE,STK,500003,INE208C01025,AEGISLOG,A,,,,,AEGIS LOGISTICS LTD.,377.10,385.55,372.60,379.65,381.00,376.85,,380.45,,,31520,11995898.00,1275,F1,1,,,,,
2024-02-08,2024-02-08,CM,BSE,STK,500008,INE885A01032,ARE&M,A,,,,,Amara Raja Energy & Mobility L,894.95,895.40,874.00,878.20,878.20,884.30,,878.30,,,15806,14019251.00,1056,F1,1,,,,,
2024-02-08,2024-02-08,CM,BSE,STK,500009,INE432A01017,AMBALALSA,X,,,,,AMBALAL SARABHAI ENTERPRISES L,68.33,70.00,64.10,66.43,66.43,68.14,,66.43,,,490030,32879197.00,1678,F1,1,,,,,
2024-02-08,2024-02-08,CM,BSE,STK,500012,INE714B01016,ANDHRAPET,X,,,,,ANDHRA PETROCHEMICALS LTD.,110.00,113.15,106.05,108.35,109.00,109.85,,108.35,,,193346,21160801.00,1025,F1,1,,,,,
2024-02-08,2024-02-08,CM,BSE,STK,500013,INE436A01026,ANSALAPI,Z,,,,,ANSAL PROPERTIES & INFRASTRUCT,12.90,12.90,12.70,12.90,12.90,12.29,,12.90,,,471780,6085617.00,157,F1,1,,,,,
2024-02-08,2024-02-08,CM,BSE,STK,500014,INE096A01010,UTIQUE,X,,,,,UTIQUE ENTERPRISES LIMITED,10.98,10.98,9.61,9.87,9.87,10.94,,9.87,,,356988,3564979.00,1032,F1,1,,,,,
2024-02-08,2024-02-08,CM,BSE,STK,500016,INE957C01019,ARUNAHTEL,XT,,,,,ARUNA HOTELS LTD.,19.80,19.80,18.59,18.63,18.59,19.56,,18.63,,,23635,444963.00,101,F1,1,,,,,
2024-02-08,2024-02-08,CM,BSE,STK,500020,INE032A01023,BOMDYEING,A,,,,,BOMBAY DYEING & MFG.CO.LTD.,194.95,194.95,182.00,185.95,187.00,188.80,,185.80,,,256790,48004382.00,4389,F1,1,,,,,
2024-02-08,2024-02-08,CM,BSE,STK,500023,INE363A01022,ASIANHOTNR,T,,,,,ASIAN HOTELS (NORTH) LIMITED,163.95,165.00,152.70,152.70,152.70,160.70,,153.25,,,6065,928191.00,44,F1,1,,,,,
2024-02-08,2024-02-08,CM,BSE,STK,500027,INE100A01010,ATUL,A,,,,,ATUL LTD.,6372.85,6372.85,6210.00,6233.30,6218.55,6338.30,,6234.70,,,708,4452242.00,286,F1,1,,,,,
2024-02-08,2024-02-08,CM,BSE,STK,500028,INE447A01015,ATVPR,XT,,,,,ATV PROJECTS INDIA LTD.,23.67,23.80,22.58,23.05,23.35,23.76,,23.05,,,75096,1712740.00,280,F1,1,,,,,
2024-02-08,2024-02-08,CM,BSE,STK,500031,INE193E01025,BAJAJELEC,A,,,,,BAJAJ ELECTRICALS LTD.,1049.85,1049.85,1010.70,1016.65,1014.05,1042.55,,1016.50,,,4205,4326236.00,357,F1,1,,,,,
2024-02-08,2024-02-08,CM,BSE,STK,500032,INE306A01021,BAJAJHIND,A,,,,,BAJAJ HINDUSTHAN SUGAR LIMITED,38.00,38.35,35.50,36.13,36.13,37.43,,36.15,,,3574278,130703081.00,9671,F1,1,,,,,
2024-02-08,2024-02-08,CM,BSE,STK,500033,INE451A01017,FORCEMOT,A,,,,,FORCE MOTORS LTD.,4169.95,4189.10,3993.00,4017.80,4017.80,4132.80,,4017.80,,,25450,103806863.00,2462,F1,1,,,,,
2024-02-08,2024-02-08,CM,BSE,STK,500034,INE296A01024,BAJFINANCE,A,,,,,BAJAJ FINANCE LIMITED,6717.75,6740.00,6540.00,6577.90,6577.90,6717.70,,6575.80,,,150590,993710638.00,28427,F1,1,,,,,
2024-02-08,2024-02-08,CM,BSE,STK,500038,INE119A01028,BALRAMCHIN,A,,,,,BALRAMPUR CHINI MILLS LTD.,401.20,404.50,389.55,391.90,391.90,401.20,,391.75,,,288234,114043589.00,7045,F1,1,,,,,
2024-02-08,2024-02-08,CM,BSE,STK,500039,INE213C01025,BANCOINDIA,B,,,,,BANCO PRODUCTS (INDIA) LTD.,694.45,719.80,689.55,705.50,705.50,682.55,,705.80,,,40102,28193358.00,1698,F1,1,,,,,
2024-02-08,2024-02-08,CM,BSE,STK,500040,INE055A01016,CENTURYTEX,A,,,,,CENTURY TEXTILES & INDUSTRIES,1474.95,1475.00,1427.45,1448.95,1452.90,1450.75,,1450.50,,,14445,20883408.00,1189,F1,1,,,,,
2024-02-08,2024-02-08,CM,BSE,STK,500041,INE459A01010,BANARISUG,B,,,,,BANNARI AMMAN SUGARS LTD.,2361.60,2416.15,2361.60,2394.30,2394.30,2365.50,,2374.75,,,137,328985.00,48,F1,1,,,,,
2024-02-08,2024-02-08,CM,BSE,STK,500042,INE373A01013,BASF,A,,,,,BASF INDIA LTD.,3157.50,3190.00,3150.00,3169.20,3156.60,3172.80,,3173.35,,,640,2024614.00,127,F1,1,,,,,
2024-02-08,2024-02-08,CM,BSE,STK,500043,INE176A01028,BATAINDIA,A,,,,,BATA INDIA LTD.,1425.05,1434.95,1403.05,1415.15,1415.15,1421.85,,1415.45,,,29536,41831677.00,1991,F1,1,,,,,
2024-02-08,2024-02-08,CM,BSE,STK,500048,INE258A01016,BEML,A,,,,,BEML LTD.,3700.05,3721.20,3493.05,3516.30,3516.30,3689.20,,3515.55,,,30505,108953140.00,4715,F1,1,,,,,
2024-02-08,2024-02-08,CM,BSE,STK,500049,INE263A01024,BEL,A,,,,,BHARAT ELECTRONICS LTD.,182.65,187.00,181.75,184.90,184.90,181.70,,184.80,,,1701795,314545771.00,16130,F1,1,,,,,
2024-02-08,2024-02-08,CM,BSE,STK,500052,INE922A01025,BEPL,B,,,,,BHANSALI ENGINEERING POLYMERS,105.75,106.45,102.55,103.30,103.25,105.55,,103.25,,,86153,8969630.00,968,F1,1,,,,,
2024-02-08,2024-02-08,CM,BSE,STK,500058,INE819C01011,BIHSPONG,XT,,,,,BIHAR SPONGE IRON LTD.,22.25,22.44,20.59,20.73,20.89,21.67,,20.73,,,201960,4260029.00,551,F1,1,,,,,
2024-02-08,2024-02-08,CM,BSE,STK,500059,INE071A01013,BINANIIND,T,,,,,BINANI INDUSTRIES LTD.,17.51,17.78,17.51,17.78,17.78,17.44,,17.78,,,8577,152212.00,23,F1,1,,,,,
2024-02-08,2024-02-08,CM,BSE,STK,500060,INE800A01015,BIRLACABLE,B,,,,,Birla Cable Limited,333.05,335.00,312.50,317.50,317.50,331.75,,318.00,,,109212,35004591.00,3430,F1,1,,,,,
2024-02-08,2024-02-08,CM,BSE,STK,500067,INE472A01039,BLUESTARCO,A,,,,,BLUE STAR LTD.,1189.95,1189.95,1150.55,1154.50,1154.85,1168.30,,1153.75,,,4652,5436050.00,602,F1,1,,,,,
2024-02-08,2024-02-08,CM,BSE,STK,500068,INE131C01011,DISAQ,B,,,,,DISA INDIA LTD.,15099.95,15100.00,14750.00,14807.05,14750.00,14900.65,,14807.05,,,121,1801981.00,54,F1,1,,,,,
2024-02-08,2024-02-08,CM,BSE,STK,500069,INE418C01012,QUESTCAP,X,,,,,QUEST CAPITAL MARKETS LIMITED,350.00,366.85,345.00,352.70,350.00,349.00,,352.70,,,445,156427.00,29,F1,1,,,,,
