"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"DHANUKA","Dhanuka Agritech Limited","EQ"," Buy Back","2","01-Jan-2019","02-Jan-2019","-","-"
"JWL","Jupiter Wagons Limited","EQ"," Extra Ordinary General Meeting","10","01-Jan-2019","-","03-Jan-2019","07-Jan-2019"
"TECHNOE","Techno Electric & Engineering Company Limited","EQ"," Buy Back","2","02-Jan-2019","03-Jan-2019","-","-"
"ONGC","Oil & Natural Gas Corporation Limited","EQ"," Buy Back","5","03-Jan-2019","04-Jan-2019","-","-"
"SELAN","Selan Exploration Technology Limited","EQ"," Interim Dividend - Rs 5 Per Share","10","03-Jan-2019","05-Jan-2019","-","-"
"LGBFORGE","LGB Forge Limited","EQ"," Rights 588:1000@ Premium Rs 2/-","1","03-Jan-2019","04-Jan-2019","-","-"
"SHANTIGEAR","Shanthi Gears Limited","EQ"," Interim Dividend - Rs 5 Per Share","1","04-Jan-2019","07-Jan-2019","-","-"
"717GS2028","GOVERNMENT OF INDIA","GS"," Interest Payment","100","04-Jan-2019","07-Jan-2019","-","-"
"833GS2026","GOVERNMENT OF INDIA","GS"," Interest Payment","100","07-Jan-2019","08-Jan-2019","-","-"
"759GS2026","GOVERNMENT OF INDIA","GS"," Interest Payment","100","09-Jan-2019","10-Jan-2019","-","-"
"69GS2019","GOVERNMENT OF INDIA","GS"," Interest Payment","100","10-Jan-2019","11-Jan-2019","-","-"
"TATAINVEST","Tata Investment Corporation Limited","EQ"," Buy Back","10","10-Jan-2019","11-Jan-2019","-","-"
"819GS2020","GOVERNMENT OF INDIA","GS"," Interest Payment","100","14-Jan-2019","15-Jan-2019","-","-"
"GUJGASLTD","Gujarat Gas Limited","EQ"," Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share","2","15-Jan-2019","16-Jan-2019","-","-"
"683GS2039","GOVERNMENT OF INDIA","GS"," Interest Payment","100","17-Jan-2019","18-Jan-2019","-","-"
"TCS","Tata Consultancy Services Limited","EQ"," Interim Dividend - Rs 4 Per Share","1","17-Jan-2019","18-Jan-2019","-","-"
"NMDC","NMDC Limited","EQ"," Buy Back","1","17-Jan-2019","18-Jan-2019","-","-"
"BAJAJCON","Bajaj Consumer Care Limited","EQ"," Interim Dividend - Rs 14 Per Share","1","18-Jan-2019","21-Jan-2019","-","-"
"DELTACORP","Delta Corp Limited","EQ"," Interim Dividend - Re 0.60 Per Share","1","18-Jan-2019","21-Jan-2019","-","-"
"INDIGRID","India Grid Trust","IV"," Distribution - Interest Payment Rs 3 Per Unit","100","21-Jan-2019","22-Jan-2019","-","-"
