"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"GICHSGFIN","GIC Housing Finance Limited","EQ","Dividend - Rs 4.50 Per Share","10","25-Jun-2026","26-Jun-2026","-","-"
"CARERATING","CARE Ratings Limited","EQ","Dividend - Rs 14 Per Share","10","25-Jun-2026","26-Jun-2026","-","-"
"SJS","S.J.S. Enterprises Limited","EQ","Dividend - Rs 3.50 Per Share","10","25-Jun-2026","26-Jun-2026","-","-"
"SONACOMS","Sona BLW Precision Forgings Limited","EQ","Dividend - Rs 1.80 Per Share","10","25-Jun-2026","26-Jun-2026","-","-"
"SUPREMEIND","Supreme Industries Limited","EQ","Dividend - Rs 25 Per Share","2","25-Jun-2026","26-Jun-2026","-","-"
"SYNGENE","Syngene International Limited","EQ","Dividend - Rs 1.25 Per Share","10","25-Jun-2026","26-Jun-2026","-","-"
"ABDL","Allied Blenders and Distillers Limited","EQ","Dividend - Rs 5.40 Per Share","2","25-Jun-2026","26-Jun-2026","-","-"
"679GS2029","GOVERNMENT OF INDIA","GS","Interest Payment","100","25-Jun-2026","25-Jun-2026","-","-"
"ALKYLAMINE","Alkyl Amines Chemicals Limited","EQ","Dividend - Rs 10 Per Share","2","25-Jun-2026","26-Jun-2026","-","-"
"ANTHEM","Anthem Biosciences Limited","EQ","Dividend - Rs 2 Per Share","2","25-Jun-2026","26-Jun-2026","-","-"
"LALPATHLAB","Dr. Lal Path Labs Ltd.","EQ","Dividend - Rs 4 Per Share","10","25-Jun-2026","26-Jun-2026","-","-"
"LICI","Life Insurance Corporation Of India","EQ","Dividend - Rs 10 Per Share","10","25-Jun-2026","25-Jun-2026","-","-"
"UFLEX","UFLEX Limited","EQ","Dividend - Rs 3 Per Share","10","25-Jun-2026","26-Jun-2026","-","-"
"VAIBHAVGBL","Vaibhav Global Limited","EQ","Dividend - Rs 1.50 Per Share","2","25-Jun-2026","26-Jun-2026","-","-"
"VISAKAIND","Visaka Industries Limited","EQ","Dividend - Rs 1.20 Per Share","2","25-Jun-2026","26-Jun-2026","-","-"
"MAWANASUG","Mawana Sugars Limited","EQ","Dividend - Rs 4 Per Share","10","25-Jun-2026","27-Jun-2026","-","-"
"NAM-INDIA","Nippon Life India Asset Management Limited","EQ","Dividend - Rs 12.50 Per Share","10","25-Jun-2026","26-Jun-2026","-","-"
"INDUSINDBK","IndusInd Bank Limited","EQ","Dividend - Rs 1.50 Per Share","10","25-Jun-2026","26-Jun-2026","-","-"
