"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"MRF","MRF Limited","EQ","Interim Dividend - Rs 3 Per Share","10","21-Nov-2025","21-Nov-2025","-","-"
"OIL","Oil India Limited","EQ","Interim Dividend - Rs 3.50 Per Share","10","21-Nov-2025","21-Nov-2025","-","-"
"NAUKRI","Info Edge (India) Limited","EQ","Interim Dividend - Rs 2.40 Per Share","2","21-Nov-2025","21-Nov-2025","-","-"
"POLYPLEX","Polyplex Corporation Limited","EQ","Interim Dividend - Rs 2 Per Share","10","21-Nov-2025","21-Nov-2025","-","-"
"GABRIEL","Gabriel India Limited","EQ","Interim Dividend - Rs 1.90 Per Share","1","21-Nov-2025","21-Nov-2025","-","-"
"XTGLOBAL","Xtglobal Infotech Limited","EQ","Interim Dividend - Rs 0.05 Per Share","1","21-Nov-2025","21-Nov-2025","-","-"
"IRCTC","Indian Railway Catering And Tourism Corporation Limited","EQ","Interim Dividend - Rs 5 Per Share","2","21-Nov-2025","21-Nov-2025","-","-"
"IVC","IL&FS Investment Managers Limited","EQ","Interim Dividend - Rs 0.50 Per Share","2","21-Nov-2025","21-Nov-2025","-","-"
"CPEDU","Career Point Edutech Limited","EQ","Interim Dividend - Rs 2.50 Per Share","10","21-Nov-2025","21-Nov-2025","-","-"
"815GS2026","GOVERNMENT OF INDIA","GS","Interest Payment","100","21-Nov-2025","21-Nov-2025","-","-"
"SONATSOFTW","Sonata Software Limited","EQ","Interim Dividend - Rs 1.25 Per Share","1","21-Nov-2025","21-Nov-2025","-","-"
"MANBA","Manba Finance Limited","EQ","Interim Dividend - Rs 0.50 Per Share","10","21-Nov-2025","21-Nov-2025","-","-"
