"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"POWERGRID","Power Grid Corporation of India Limited","EQ","Bonus 1:3","10","12-Sep-2023","12-Sep-2023","-","-"
"AIAENG","AIA Engineering Limited","EQ","Dividend - Rs 16 Per Share","2","12-Sep-2023","-","13-Sep-2023","19-Sep-2023"
"JWL","Jupiter Wagons Limited","EQ","Annual General Meeting/Dividend - Re 0.50 Per Share","10","12-Sep-2023","-","13-Sep-2023","19-Sep-2023"
"LT","Larsen & Toubro Limited","EQ","Buy Back","2","12-Sep-2023","12-Sep-2023","-","-"
"ASIANTILES","Asian Granito India Limited","EQ","Annual General Meeting","10","12-Sep-2023","-","13-Sep-2023","20-Sep-2023"
"UMAEXPORTS","Uma Exports Limited","EQ","Annual General Meeting","10","12-Sep-2023","-","13-Sep-2023","19-Sep-2023"
"EUROTEXIND","Eurotex Industries and Exports Limited","EQ","Annual General Meeting","10","12-Sep-2023","-","13-Sep-2023","22-Sep-2023"
"MSTCLTD","Mstc Limited","EQ","Annual General Meeting/Dividend - Rs 3.20 Per Share","10","12-Sep-2023","-","13-Sep-2023","20-Sep-2023"
"SILVERTUC","Silver Touch Technologies Limited","EQ","Annual General Meeting","10","12-Sep-2023","-","13-Sep-2023","20-Sep-2023"
"SKIPPER","Skipper Limited","EQ","Annual General Meeting/Dividend - Re 0.10 Per Share","1","12-Sep-2023","-","13-Sep-2023","19-Sep-2023"
"DVL","Dhunseri Ventures Limited","EQ","Annual General Meeting/Dividend - Rs 3 Per Share","10","12-Sep-2023","-","13-Sep-2023","19-Sep-2023"
