"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"AJMERA","Ajmera Realty & Infra India Limited","EQ","Demerger","10","02-Aug-2024","02-Aug-2024","-","-"
"CHOLAHLDNG","Cholamandalam Financial Holdings Limited","EQ","Annual General Meeting/Dividend - Re 0.55 Per Share","1","02-Aug-2024","-","03-Aug-2024","09-Aug-2024"
"BGRENERGY","BGR Energy Systems Limited","EQ","Annual General Meeting","10","02-Aug-2024","-","03-Aug-2024","09-Aug-2024"
"GFSTEELS","Grand Foundry Limited","EQ","Annual General Meeting","4","02-Aug-2024","-","03-Aug-2024","07-Aug-2024"
"JISLJALEQS","Jain Irrigation Systems Limited","EQ","Annual General Meeting","2","02-Aug-2024","-","05-Aug-2024","16-Aug-2024"
"MUNJALSHOW","Munjal Showa Limited","EQ","Annual General Meeting/Dividend - Rs 4.50 Per Share","2","02-Aug-2024","-","03-Aug-2024","21-Aug-2024"
"SHARDACROP","Sharda Cropchem Limited","EQ","Annual General Meeting","10","02-Aug-2024","-","03-Aug-2024","03-Aug-2024"
"INDIGOPNTS","Indigo Paints Limited","EQ","Dividend - Rs 3.50 Per Share","10","02-Aug-2024","02-Aug-2024","-","-"
"INDIGOPNTS","Indigo Paints Limited","EQ","Annual General Meeting","10","02-Aug-2024","-","03-Aug-2024","10-Aug-2024"
"JLHL","Jupiter Life Line Hospitals Limited","EQ","Dividend - Re 1 Per Share","10","02-Aug-2024","02-Aug-2024","-","-"
"JUBLINGREA","Jubilant Ingrevia Limited","EQ","Dividend - Rs 2.50 Per Share","1","02-Aug-2024","02-Aug-2024","-","-"
"JUBLPHARMA","Jubilant Pharmova Limited","EQ","Dividend - Rs 5 Per Share","1","02-Aug-2024","02-Aug-2024","-","-"
"MAPMYINDIA","C.E. Info Systems Limited","EQ","Annual General Meeting","2","02-Aug-2024","-","03-Aug-2024","09-Aug-2024"
"MAPMYINDIA","C.E. Info Systems Limited","EQ","Dividend - Rs 3.50 Per Share","2","02-Aug-2024","02-Aug-2024","-","-"
"MINDTECK","Mindteck (India) Limited","EQ","Annual General Meeting/Dividend - Re 1 Per Share","10","02-Aug-2024","-","03-Aug-2024","09-Aug-2024"
"NH","Narayana Hrudayalaya Ltd.","EQ","Dividend - Rs 4 Per Share","10","02-Aug-2024","02-Aug-2024","-","-"
"PALASHSECU","Palash Securities Limited","EQ","Annual General Meeting","10","02-Aug-2024","-","03-Aug-2024","09-Aug-2024"
"SHARDACROP","Sharda Cropchem Limited","EQ","Dividend - Rs 3 Per Share","10","02-Aug-2024","02-Aug-2024","-","-"
"AMBER","Amber Enterprises India Limited","EQ","Annual General Meeting","10","02-Aug-2024","-","03-Aug-2024","09-Aug-2024"
"CENTEXT","Century Extrusions Limited","EQ","Annual General Meeting","1","02-Aug-2024","-","03-Aug-2024","09-Aug-2024"
"DYNAMATECH","Dynamatic Technologies Limited","EQ","Dividend - Rs 5 Per Share","10","02-Aug-2024","02-Aug-2024","-","-"
"EXCEL","Excel Realty N Infra Limited","EQ","Annual General Meeting","1","02-Aug-2024","-","03-Aug-2024","09-Aug-2024"
"GMMPFAUDLR","GMM Pfaudler Limited","EQ","Annual General Meeting/Dividend - Re 1 Per Share","2","02-Aug-2024","02-Aug-2024","-","-"
