Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.995*D*D + 0.005*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365)
01-JUN-2026,20MICRONS,182.37,182.77,-0.0022,0.0301,0.0300,0.5731
01-JUN-2026,21STCENMGM,34.49,35.27,-0.0224,0.0199,0.0199,0.3802
01-JUN-2026,360ONE,1078.80,1104.50,-0.0235,0.0214,0.0214,0.4088
01-JUN-2026,3BBLACKBIO,1103.30,1242.40,-0.1187,0.0333,0.0343,0.6553
01-JUN-2026,3IINFOLTD,17.51,17.24,0.0155,0.0244,0.0244,0.4662
01-JUN-2026,3MINDIA,32565.00,32810.00,-0.0075,0.0187,0.0187,0.3573
01-JUN-2026,3PLAND,30.49,31.24,-0.0243,0.0280,0.0280,0.5349
01-JUN-2026,500012,42.58,39.60,0.0726,0.0269,0.0273,0.5216
01-JUN-2026,500014,4.00,4.11,-0.0271,0.0292,0.0292,0.5579
01-JUN-2026,500016,8.14,8.39,-0.0303,0.0330,0.0330,0.6305
01-JUN-2026,500028,29.69,29.77,-0.0027,0.0305,0.0305,0.5827
01-JUN-2026,500051,5.99,5.88,0.0185,0.0225,0.0225,0.4299
01-JUN-2026,500058,13.86,14.58,-0.0506,0.0312,0.0313,0.5980
01-JUN-2026,500069,262.25,274.00,-0.0438,0.0242,0.0243,0.4643
01-JUN-2026,500142,12.00,12.00,0.0000,0.0412,0.0411,0.7852
01-JUN-2026,500143,819.85,803.00,0.0208,0.0338,0.0338,0.6457
01-JUN-2026,500166,174.50,176.00,-0.0086,0.0218,0.0218,0.4165
01-JUN-2026,500170,24.75,24.61,0.0057,0.0309,0.0308,0.5884
01-JUN-2026,500178,7.50,7.50,0.0000,0.0107,0.0107,0.2044
01-JUN-2026,500192,1.81,1.83,-0.0110,0.0326,0.0325,0.6209
01-JUN-2026,500202,8.40,8.50,-0.0118,0.0331,0.0330,0.6305
01-JUN-2026,500206,67.20,65.27,0.0291,0.0347,0.0346,0.6610
01-JUN-2026,500213,307.60,315.80,-0.0263,0.0248,0.0248,0.4738
01-JUN-2026,500220,221.00,221.85,-0.0038,0.0351,0.0350,0.6687
01-JUN-2026,500236,33.64,32.04,0.0487,0.1079,0.1077,2.0576
01-JUN-2026,500239,15.89,15.73,0.0101,0.0316,0.0316,0.6037
01-JUN-2026,500240,225.75,228.00,-0.0099,0.0313,0.0313,0.5980
01-JUN-2026,500246,114.50,114.53,-0.0003,0.0428,0.0427,0.8158
01-JUN-2026,500248,5.20,5.47,-0.0506,0.0259,0.0261,0.4986
01-JUN-2026,500270,126.00,126.00,0.0000,0.0224,0.0223,0.4260
01-JUN-2026,500277,6.45,6.45,0.0000,0.0410,0.0409,0.7814
01-JUN-2026,500285,12.31,12.75,-0.0351,0.0366,0.0366,0.6992
01-JUN-2026,500298,592.00,586.95,0.0086,0.0288,0.0287,0.5483
01-JUN-2026,500319,74.49,76.18,-0.0224,0.0277,0.0277,0.5292
01-JUN-2026,500322,116.80,122.90,-0.0509,0.0347,0.0348,0.6649
01-JUN-2026,500346,51.37,49.68,0.0335,0.0335,0.0335,0.6400
01-JUN-2026,500357,16.20,16.20,0.0000,0.0331,0.0331,0.6324
01-JUN-2026,500358,16.12,16.12,0.0000,0.0230,0.0230,0.4394
01-JUN-2026,500360,167.30,171.85,-0.0268,0.0351,0.0351,0.6706
01-JUN-2026,500370,30.39,29.03,0.0458,0.0359,0.0360,0.6878
01-JUN-2026,500371,45.53,44.64,0.0197,0.0314,0.0313,0.5980
01-JUN-2026,500388,142.20,135.45,0.0486,0.0331,0.0332,0.6343
01-JUN-2026,500399,139.40,132.80,0.0485,0.1389,0.1386,2.6479
01-JUN-2026,500421,19.35,20.36,-0.0509,0.0347,0.0348,0.6649
01-JUN-2026,500422,235.25,224.05,0.0488,0.0362,0.0363,0.6935
01-JUN-2026,500426,1.76,1.84,-0.0445,0.0361,0.0362,0.6916
01-JUN-2026,500449,41.26,43.79,-0.0595,0.0350,0.0351,0.6706
01-JUN-2026,500450,568.10,544.40,0.0426,0.0336,0.0337,0.6438
01-JUN-2026,500458,29.84,28.68,0.0396,0.0373,0.0373,0.7126
01-JUN-2026,500500,16.88,17.13,-0.0147,0.0341,0.0340,0.6496
01-JUN-2026,501110,7.15,7.15,0.0000,0.0005,0.0005,0.0096
01-JUN-2026,501111,12.14,12.14,0.0000,0.0029,0.0029,0.0554
01-JUN-2026,501144,218.40,218.40,0.0000,0.0203,0.0202,0.3859
01-JUN-2026,501148,336.85,330.25,0.0198,0.0153,0.0153,0.2923
01-JUN-2026,501151,9325.45,9515.75,-0.0202,0.0234,0.0234,0.4471
01-JUN-2026,501270,3.10,2.96,0.0462,0.0140,0.0143,0.2732
01-JUN-2026,501311,19.34,19.34,0.0000,0.0315,0.0315,0.6018
01-JUN-2026,501314,0.64,0.65,-0.0155,0.0378,0.0377,0.7203
01-JUN-2026,501351,87.74,87.74,0.0000,0.0303,0.0302,0.5770
01-JUN-2026,501370,137.00,137.55,-0.0040,0.0352,0.0352,0.6725
01-JUN-2026,501386,20.17,20.17,0.0000,0.0134,0.0134,0.2560
01-JUN-2026,501391,527.75,541.00,-0.0248,0.0305,0.0305,0.5827
