Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.995*D*D + 0.005*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365)
10-FEB-2026,20MICRONS,181.75,183.90,-0.0118,0.0290,0.0289,0.5521
10-FEB-2026,21STCENMGM,40.13,39.75,0.0095,0.0204,0.0204,0.3897
10-FEB-2026,360ONE,1162.40,1138.25,0.0210,0.0223,0.0223,0.4260
10-FEB-2026,3IINFOLTD,16.22,15.55,0.0422,0.0259,0.0260,0.4967
10-FEB-2026,3MINDIA,37637.85,36482.65,0.0312,0.0175,0.0176,0.3362
10-FEB-2026,3PLAND,35.17,35.52,-0.0099,0.0280,0.0280,0.5349
10-FEB-2026,500009,26.16,27.34,-0.0441,0.0302,0.0302,0.5770
10-FEB-2026,500012,44.72,44.22,0.0112,0.0246,0.0246,0.4700
10-FEB-2026,500014,4.85,4.74,0.0229,0.0265,0.0265,0.5063
10-FEB-2026,500016,8.43,8.32,0.0131,0.0325,0.0325,0.6209
10-FEB-2026,500028,36.60,37.18,-0.0157,0.0318,0.0317,0.6056
10-FEB-2026,500058,12.11,11.25,0.0737,0.0288,0.0292,0.5579
10-FEB-2026,500068,13575.00,13128.70,0.0334,0.0166,0.0167,0.3191
10-FEB-2026,500069,263.50,260.30,0.0122,0.0242,0.0241,0.4604
10-FEB-2026,500123,9119.25,8780.50,0.0379,0.0231,0.0232,0.4432
10-FEB-2026,500142,9.30,9.25,0.0054,0.0375,0.0374,0.7145
10-FEB-2026,500143,582.15,594.00,-0.0202,0.0381,0.0380,0.7260
10-FEB-2026,500147,5090.95,5076.05,0.0029,0.0341,0.0340,0.6496
10-FEB-2026,500159,117.50,118.00,-0.0042,0.0244,0.0244,0.4662
10-FEB-2026,500166,165.30,164.40,0.0055,0.0225,0.0224,0.4280
10-FEB-2026,500168,857.40,855.60,0.0021,0.0121,0.0121,0.2312
10-FEB-2026,500170,22.31,21.58,0.0333,0.0303,0.0303,0.5789
10-FEB-2026,500192,1.93,1.95,-0.0103,0.0303,0.0302,0.5770
10-FEB-2026,500202,7.75,8.12,-0.0466,0.0361,0.0361,0.6897
10-FEB-2026,500206,72.00,68.42,0.0510,0.0321,0.0323,0.6171
10-FEB-2026,500213,338.85,333.30,0.0165,0.0241,0.0241,0.4604
10-FEB-2026,500220,161.50,163.65,-0.0132,0.0288,0.0287,0.5483
10-FEB-2026,500239,16.11,16.03,0.0050,0.0308,0.0307,0.5865
10-FEB-2026,500240,291.90,293.50,-0.0055,0.0320,0.0319,0.6094
10-FEB-2026,500245,464.60,445.70,0.0415,0.0203,0.0204,0.3897
10-FEB-2026,500246,64.00,64.00,0.0000,0.0408,0.0407,0.7776
10-FEB-2026,500248,6.78,6.78,0.0000,0.0282,0.0281,0.5368
10-FEB-2026,500264,137.30,140.15,-0.0205,0.0311,0.0311,0.5942
10-FEB-2026,500267,360.05,352.65,0.0208,0.0238,0.0237,0.4528
10-FEB-2026,500270,113.00,112.25,0.0067,0.0223,0.0222,0.4241
10-FEB-2026,500277,7.46,7.33,0.0176,0.0390,0.0389,0.7432
10-FEB-2026,500285,22.15,22.14,0.0005,0.0317,0.0316,0.6037
10-FEB-2026,500298,624.10,613.35,0.0174,0.0287,0.0286,0.5464
10-FEB-2026,500307,513.80,511.75,0.0040,0.0128,0.0128,0.2445
10-FEB-2026,500319,72.56,69.37,0.0450,0.0277,0.0278,0.5311
10-FEB-2026,500322,138.95,141.90,-0.0210,0.0343,0.0342,0.6534
10-FEB-2026,500346,60.00,58.17,0.0310,0.0320,0.0320,0.6114
10-FEB-2026,500357,14.72,15.44,-0.0478,0.0318,0.0319,0.6094
10-FEB-2026,500360,132.95,126.85,0.0470,0.0370,0.0370,0.7069
10-FEB-2026,500365,37.51,41.26,-0.0953,0.0283,0.0290,0.5540
10-FEB-2026,500370,35.07,35.73,-0.0186,0.0337,0.0337,0.6438
10-FEB-2026,500371,11.17,10.96,0.0190,0.0353,0.0352,0.6725
10-FEB-2026,500388,99.15,94.43,0.0488,0.0324,0.0325,0.6209
10-FEB-2026,500389,13.31,12.68,0.0485,0.0273,0.0274,0.5235
10-FEB-2026,500414,305.40,283.50,0.0744,0.0335,0.0338,0.6457
10-FEB-2026,500421,19.39,19.68,-0.0148,0.0331,0.0331,0.6324
10-FEB-2026,500422,154.20,158.15,-0.0253,0.0369,0.0369,0.7050
10-FEB-2026,500426,1.91,1.98,-0.0360,0.0383,0.0383,0.7317
10-FEB-2026,500449,31.34,30.87,0.0151,0.0298,0.0297,0.5674
10-FEB-2026,500450,413.00,393.75,0.0477,0.0321,0.0322,0.6152
10-FEB-2026,500458,27.14,29.19,-0.0728,0.0342,0.0345,0.6591
10-FEB-2026,500500,17.13,17.01,0.0070,0.0322,0.0322,0.6152
10-FEB-2026,500672,839.65,839.00,0.0008,0.0170,0.0170,0.3248
10-FEB-2026,501110,7.15,7.15,0.0000,0.0006,0.0006,0.0115
10-FEB-2026,501111,12.14,12.14,0.0000,0.0035,0.0035,0.0669
10-FEB-2026,501144,191.80,191.80,0.0000,0.0208,0.0207,0.3955
10-FEB-2026,501148,361.30,368.65,-0.0201,0.0151,0.0151,0.2885
10-FEB-2026,501270,1.34,1.34,0.0000,0.0008,0.0008,0.0153
10-FEB-2026,501298,5290.00,5220.00,0.0133,0.0224,0.0224,0.4280
10-FEB-2026,501311,15.98,15.22,0.0487,0.0321,0.0322,0.6152
10-FEB-2026,501314,0.69,0.62,0.1070,0.0325,0.0333,0.6362
10-FEB-2026,501351,80.68,84.60,-0.0474,0.0299,0.0301,0.5751
10-FEB-2026,501370,118.95,116.55,0.0204,0.0343,0.0342,0.6534
10-FEB-2026,501386,15.06,15.06,0.0000,0.0134,0.0134,0.2560
10-FEB-2026,501391,521.20,516.60,0.0089,0.0325,0.0325,0.6209
10-FEB-2026,501421,6190.00,5899.35,0.0481,0.0330,0.0331,0.6324
10-FEB-2026,501430,1774.50,1773.55,0.0005,0.0278,0.0277,0.5292
10-FEB-2026,501477,214.00,215.05,-0.0049,0.0318,0.0317,0.6056
10-FEB-2026,501479,11.02,11.02,0.0000,0.0000,0.0000,0.0000
10-FEB-2026,501622,62.10,62.10,0.0000,0.0260,0.0259,0.4948
