Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.995*D*D + 0.005*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365)
09-JUN-2025,20MICRONS,228.16,227.40,0.0033,0.0324,0.0324,0.6190
09-JUN-2025,21STCENMGM,67.20,67.23,-0.0004,0.0189,0.0189,0.3611
09-JUN-2025,360ONE,1065.60,1064.85,0.0007,0.0268,0.0267,0.5101
09-JUN-2025,3IINFOLTD,25.09,24.68,0.0165,0.0306,0.0305,0.5827
09-JUN-2025,3MINDIA,29425.00,29360.00,0.0022,0.0174,0.0174,0.3324
09-JUN-2025,3PLAND,54.95,52.72,0.0414,0.0376,0.0376,0.7183
09-JUN-2025,500009,37.13,35.88,0.0342,0.0334,0.0335,0.6400
09-JUN-2025,500012,55.44,55.05,0.0071,0.0266,0.0265,0.5063
09-JUN-2025,500014,5.45,5.51,-0.0109,0.0284,0.0284,0.5426
09-JUN-2025,500016,10.41,10.80,-0.0368,0.0345,0.0345,0.6591
09-JUN-2025,500028,40.61,39.15,0.0366,0.0350,0.0350,0.6687
09-JUN-2025,500058,12.85,13.02,-0.0131,0.0309,0.0309,0.5903
09-JUN-2025,500068,14054.00,13798.35,0.0184,0.0177,0.0177,0.3382
09-JUN-2025,500069,387.10,389.50,-0.0062,0.0298,0.0297,0.5674
09-JUN-2025,500123,10442.20,10214.25,0.0221,0.0240,0.0240,0.4585
09-JUN-2025,500142,9.88,10.32,-0.0436,0.0421,0.0421,0.8043
09-JUN-2025,500143,170.65,157.60,0.0796,0.0335,0.0339,0.6477
09-JUN-2025,500147,3646.00,3745.60,-0.0270,0.0358,0.0358,0.6840
09-JUN-2025,500159,131.00,129.20,0.0138,0.0248,0.0247,0.4719
09-JUN-2025,500166,217.25,218.85,-0.0073,0.0278,0.0277,0.5292
09-JUN-2025,500168,958.25,953.80,0.0047,0.0136,0.0135,0.2579
09-JUN-2025,500170,25.36,25.80,-0.0172,0.0318,0.0317,0.6056
09-JUN-2025,500192,2.37,2.33,0.0170,0.0292,0.0291,0.5560
09-JUN-2025,500202,10.60,10.28,0.0307,0.0438,0.0437,0.8349
09-JUN-2025,500206,84.81,84.70,0.0013,0.0352,0.0352,0.6725
09-JUN-2025,500213,507.80,506.35,0.0029,0.0292,0.0291,0.5560
09-JUN-2025,500220,214.00,200.60,0.0647,0.0346,0.0348,0.6649
09-JUN-2025,500239,17.44,17.43,0.0006,0.0319,0.0318,0.6075
09-JUN-2025,500240,214.65,207.10,0.0358,0.0288,0.0288,0.5502
09-JUN-2025,500245,583.50,590.15,-0.0113,0.0249,0.0248,0.4738
09-JUN-2025,500246,95.00,95.00,0.0000,0.0446,0.0445,0.8502
09-JUN-2025,500248,6.15,6.15,0.0000,0.0298,0.0298,0.5693
09-JUN-2025,500264,129.35,129.20,0.0012,0.0327,0.0326,0.6228
09-JUN-2025,500267,312.95,305.65,0.0236,0.0295,0.0294,0.5617
09-JUN-2025,500270,169.90,168.80,0.0065,0.0283,0.0283,0.5407
09-JUN-2025,500277,8.54,7.93,0.0741,0.0377,0.0380,0.7260
09-JUN-2025,500285,43.41,41.42,0.0469,0.0350,0.0351,0.6706
09-JUN-2025,500298,1007.85,996.35,0.0115,0.0334,0.0333,0.6362
09-JUN-2025,500306,170.95,169.55,0.0082,0.0377,0.0376,0.7183
09-JUN-2025,500307,515.25,514.95,0.0006,0.0130,0.0130,0.2484
09-JUN-2025,500319,112.95,114.23,-0.0113,0.0348,0.0347,0.6629
09-JUN-2025,500322,158.05,143.70,0.0952,0.0308,0.0314,0.5999
09-JUN-2025,500346,60.34,64.85,-0.0721,0.0352,0.0355,0.6782
09-JUN-2025,500357,13.50,13.00,0.0377,0.0304,0.0305,0.5827
09-JUN-2025,500358,11.48,10.94,0.0482,0.0261,0.0263,0.5025
09-JUN-2025,500360,71.71,71.95,-0.0033,0.0349,0.0348,0.6649
09-JUN-2025,500365,35.10,34.32,0.0225,0.0316,0.0316,0.6037
09-JUN-2025,500370,42.83,42.81,0.0005,0.0371,0.0370,0.7069
09-JUN-2025,500388,50.83,48.41,0.0488,0.0323,0.0324,0.6190
09-JUN-2025,500389,11.35,11.13,0.0196,0.0258,0.0257,0.4910
09-JUN-2025,500414,267.95,270.75,-0.0104,0.0351,0.0350,0.6687
09-JUN-2025,500421,16.20,16.99,-0.0476,0.0305,0.0306,0.5846
09-JUN-2025,500422,39.24,39.82,-0.0147,0.0394,0.0393,0.7508
09-JUN-2025,500426,2.86,2.84,0.0070,0.0302,0.0301,0.5751
09-JUN-2025,500449,34.75,34.60,0.0043,0.0370,0.0369,0.7050
09-JUN-2025,500450,490.00,500.60,-0.0214,0.0287,0.0287,0.5483
09-JUN-2025,500458,27.12,28.48,-0.0489,0.0331,0.0332,0.6343
09-JUN-2025,500672,1005.60,1012.10,-0.0064,0.0207,0.0207,0.3955
09-JUN-2025,501110,7.15,7.15,0.0000,0.0009,0.0009,0.0172
09-JUN-2025,501111,11.57,11.57,0.0000,0.0025,0.0025,0.0478
09-JUN-2025,501144,191.95,192.95,-0.0052,0.0233,0.0232,0.4432
09-JUN-2025,501148,403.25,395.35,0.0198,0.0158,0.0158,0.3019
09-JUN-2025,501151,1036.00,1036.00,0.0000,0.0117,0.0116,0.2216
09-JUN-2025,501261,431.90,431.90,0.0000,0.0086,0.0085,0.1624
09-JUN-2025,501270,1.34,1.34,0.0000,0.0012,0.0012,0.0229
09-JUN-2025,501298,6514.95,6414.10,0.0156,0.0281,0.0280,0.5349
09-JUN-2025,501311,11.93,11.53,0.0341,0.0297,0.0297,0.5674
09-JUN-2025,501314,0.83,0.82,0.0121,0.0427,0.0426,0.8139
09-JUN-2025,501351,88.94,86.99,0.0222,0.0269,0.0269,0.5139
09-JUN-2025,501370,152.25,148.90,0.0222,0.0365,0.0365,0.6973
09-JUN-2025,501386,11.73,11.73,0.0000,0.0123,0.0123,0.2350
09-JUN-2025,501391,777.65,756.30,0.0278,0.0362,0.0361,0.6897
09-JUN-2025,501421,4143.95,4053.75,0.0220,0.0356,0.0356,0.6801
09-JUN-2025,501430,1810.00,1799.85,0.0056,0.0332,0.0331,0.6324
09-JUN-2025,501477,260.00,250.95,0.0354,0.0321,0.0321,0.6133
09-JUN-2025,501479,11.02,11.02,0.0000,0.0000,0.0000,0.0000
09-JUN-2025,501622,55.72,57.67,-0.0344,0.0280,0.0280,0.5349
09-JUN-2025,501630,24.48,24.48,0.0000,0.0030,0.0029,0.0554
09-JUN-2025,501700,10.67,10.75,-0.0075,0.0305,0.0304,0.5808
09-JUN-2025,501833,26.73,27.13,-0.0149,0.0374,0.0373,0.7126
09-JUN-2025,501848,99.29,99.92,-0.0063,0.0364,0.0363,0.6935
09-JUN-2025,501945,5.19,5.29,-0.0191,0.0130,0.0130,0.2484
09-JUN-2025,502015,33.95,33.91,0.0012,0.0391,0.0390,0.7451
09-JUN-2025,502133,69.33,67.67,0.0242,0.0273,0.0273,0.5216
09-JUN-2025,502250,418.95,440.95,-0.0512,0.0318,0.0320,0.6114
09-JUN-2025,502271,27.56,26.25,0.0487,0.0213,0.0215,0.4108
09-JUN-2025,502281,14.22,14.13,0.0063,0.0321,0.0321,0.6133
09-JUN-2025,502294,40.56,41.01,-0.0110,0.0411,0.0410,0.7833
09-JUN-2025,502445,63.01,65.47,-0.0383,0.0348,0.0349,0.6668
09-JUN-2025,502587,89.13,85.94,0.0364,0.0278,0.0279,0.5330
09-JUN-2025,502589,139.25,139.90,-0.0047,0.0339,0.0338,0.6457
09-JUN-2025,502850,13.65,13.65,0.0000,0.0056,0.0055,0.1051
09-JUN-2025,502865,404.50,385.30,0.0486,0.0323,0.0324,0.6190
09-JUN-2025,502873,114.80,108.60,0.0555,0.0329,0.0330,0.6305
09-JUN-2025,502893,99.93,96.54,0.0345,0.0425,0.0424,0.8101
09-JUN-2025,502901,122.12,116.31,0.0487,0.0297,0.0298,0.5693
09-JUN-2025,502933,170.00,165.70,0.0256,0.0306,0.0305,0.5827
09-JUN-2025,502958,6400.00,6449.70,-0.0077,0.0227,0.0226,0.4318
09-JUN-2025,503092,34.48,33.16,0.0390,0.0463,0.0462,0.8826
09-JUN-2025,503127,5151.00,5133.00,0.0035,0.0308,0.0307,0.5865
09-JUN-2025,503229,199.35,204.40,-0.0250,0.0388,0.0388,0.7413
09-JUN-2025,503349,6641.00,6470.00,0.0261,0.0320,0.0320,0.6114
09-JUN-2025,503622,7.35,7.35,0.0000,0.0000,0.0000,0.0000
09-JUN-2025,503624,9.43,8.58,0.0945,0.0372,0.0377,0.7203
09-JUN-2025,503626,10.50,10.50,0.0000,0.0000,0.0000,0.0000
09-JUN-2025,503635,14.58,14.58,0.0000,0.0037,0.0037,0.0707
09-JUN-2025,503639,9.55,9.55,0.0000,0.0105,0.0105,0.2006
09-JUN-2025,503641,10.59,10.74,-0.0141,0.0271,0.0271,0.5177
09-JUN-2025,503657,19.44,19.42,0.0010,0.0354,0.0353,0.6744
09-JUN-2025,503659,86.00,86.00,0.0000,0.0319,0.0318,0.6075
09-JUN-2025,503663,3.32,3.31,0.0030,0.0347,0.0346,0.6610
09-JUN-2025,503671,4.55,4.55,0.0000,0.0000,0.0000,0.0000
09-JUN-2025,503675,1.14,1.12,0.0177,0.0346,0.0346,0.6610
09-JUN-2025,503681,129547.60,130186.70,-0.0049,0.5416,0.5403,10.3224
09-JUN-2025,503685,22.37,22.39,-0.0009,0.0389,0.0388,0.7413
09-JUN-2025,503689,3.20,3.20,0.0000,0.0000,0.0000,0.0000
09-JUN-2025,503696,82.50,82.50,0.0000,0.0000,0.0000,0.0000
09-JUN-2025,503772,55.25,55.25,0.0000,0.0301,0.0300,0.5731
09-JUN-2025,503776,46.00,45.40,0.0131,0.0370,0.0369,0.7050
09-JUN-2025,503804,324.15,321.50,0.0082,0.0200,0.0200,0.3821
09-JUN-2025,503816,68.16,66.83,0.0197,0.0339,0.0339,0.6477
09-JUN-2025,503837,14.67,14.11,0.0389,0.0342,0.0342,0.6534
09-JUN-2025,503863,11.80,11.80,0.0000,0.0281,0.0280,0.5349
09-JUN-2025,504000,93.48,92.89,0.0063,0.0334,0.0333,0.6362
09-JUN-2025,504028,168.05,160.05,0.0488,0.0289,0.0291,0.5560
09-JUN-2025,504076,123.95,124.80,-0.0068,0.0372,0.0371,0.7088
09-JUN-2025,504080,1440.00,1361.20,0.0563,0.0384,0.0385,0.7355
09-JUN-2025,504084,1284.25,1259.10,0.0198,0.1584,0.1580,3.0186
09-JUN-2025,504092,189.15,191.05,-0.0100,0.0311,0.0311,0.5942
09-JUN-2025,504093,401.65,402.05,-0.0010,0.0250,0.0249,0.4757
09-JUN-2025,504132,949.65,883.35,0.0724,0.0321,0.0324,0.6190
09-JUN-2025,504176,703.75,704.25,-0.0007,0.0333,0.0332,0.6343
09-JUN-2025,504180,66.65,65.66,0.0150,0.0293,0.0293,0.5598
09-JUN-2025,504240,830.70,791.15,0.0488,0.0335,0.0336,0.6419
09-JUN-2025,504258,1010.00,989.55,0.0205,0.0298,0.0298,0.5693
09-JUN-2025,504273,24.71,25.21,-0.0200,0.0301,0.0301,0.5751
09-JUN-2025,504340,5.47,5.58,-0.0199,0.0174,0.0175,0.3343
09-JUN-2025,504346,1503.85,1474.40,0.0198,0.0183,0.0183,0.3496
09-JUN-2025,504351,1.50,1.50,0.0000,0.0257,0.0256,0.4891
09-JUN-2025,504356,10.56,11.11,-0.0508,0.0465,0.0465,0.8884
09-JUN-2025,504365,4.11,4.11,0.0000,0.0009,0.0009,0.0172
09-JUN-2025,504369,0.53,0.53,0.0000,0.0132,0.0131,0.2503
09-JUN-2025,504375,131.75,131.75,0.0000,0.0101,0.0101,0.1930
09-JUN-2025,504378,3.97,3.98,-0.0025,0.0327,0.0326,0.6228
09-JUN-2025,504380,69.59,70.49,-0.0128,0.0289,0.0289,0.5521
09-JUN-2025,504392,19.50,20.52,-0.0510,0.0371,0.0372,0.7107
09-JUN-2025,504397,100.00,95.50,0.0460,0.0318,0.0319,0.6094
09-JUN-2025,504398,56.14,53.47,0.0487,0.0135,0.0139,0.2656
09-JUN-2025,504605,3470.35,3444.50,0.0075,0.0315,0.0314,0.5999
09-JUN-2025,504646,335.25,336.25,-0.0030,0.0325,0.0324,0.6190
09-JUN-2025,504648,67.70,67.95,-0.0037,0.0376,0.0375,0.7164
09-JUN-2025,504731,153.95,152.75,0.0078,0.0311,0.0310,0.5923
09-JUN-2025,504746,639.50,627.00,0.0197,0.0266,0.0265,0.5063
09-JUN-2025,504786,978.90,976.85,0.0021,0.0306,0.0305,0.5827
09-JUN-2025,504810,65.99,66.00,-0.0002,0.0430,0.0429,0.8196
09-JUN-2025,504840,1830.00,1760.00,0.0390,0.0228,0.0229,0.4375
09-JUN-2025,504882,2935.15,2928.65,0.0022,0.0268,0.0268,0.5120
09-JUN-2025,504903,29.98,29.79,0.0064,0.0317,0.0316,0.6037
09-JUN-2025,504908,438.25,435.60,0.0061,0.0361,0.0360,0.6878
09-JUN-2025,504959,2803.20,2902.05,-0.0347,0.0241,0.0241,0.4604
09-JUN-2025,504988,1274.95,1233.00,0.0335,0.0299,0.0299,0.5712
09-JUN-2025,504998,0.44,0.44,0.0000,0.0186,0.0186,0.3554
09-JUN-2025,505036,1867.35,1900.00,-0.0173,0.0319,0.0318,0.6075
09-JUN-2025,505100,10.77,10.77,0.0000,0.0102,0.0102,0.1949
09-JUN-2025,505163,1208.15,1151.55,0.0480,0.0360,0.0361,0.6897
09-JUN-2025,505212,171.85,172.45,-0.0035,0.0350,0.0349,0.6668
09-JUN-2025,505216,2964.50,3020.00,-0.0185,0.0298,0.0297,0.5674
09-JUN-2025,505232,1221.45,1181.85,0.0330,0.0283,0.0283,0.5407
09-JUN-2025,505250,83.45,86.95,-0.0411,0.0362,0.0362,0.6916
09-JUN-2025,505285,940.85,960.05,-0.0202,0.0141,0.0141,0.2694
09-JUN-2025,505299,920.45,941.25,-0.0223,0.0407,0.0406,0.7757
09-JUN-2025,505302,2309.15,2269.00,0.0175,0.0332,0.0331,0.6324
09-JUN-2025,505320,179.85,176.45,0.0191,0.0116,0.0117,0.2235
09-JUN-2025,505336,1.68,1.76,-0.0465,0.1131,0.1129,2.1570
09-JUN-2025,505343,0.71,0.71,0.0000,0.0294,0.0294,0.5617
09-JUN-2025,505358,210.50,208.55,0.0093,0.0283,0.0282,0.5388
09-JUN-2025,505502,1.12,1.14,-0.0177,0.0199,0.0199,0.3802
09-JUN-2025,505504,750.50,735.80,0.0198,0.0177,0.0177,0.3382
09-JUN-2025,505515,11.01,11.05,-0.0036,0.0349,0.0348,0.6649
09-JUN-2025,505520,32.96,32.32,0.0196,0.0172,0.0172,0.3286
09-JUN-2025,505523,0.48,0.46,0.0426,0.0301,0.0302,0.5770
09-JUN-2025,505594,32.80,32.80,0.0000,0.0000,0.0000,0.0000
09-JUN-2025,505650,21.50,21.40,0.0047,0.0383,0.0382,0.7298
09-JUN-2025,505681,613.55,613.10,0.0007,0.0238,0.0237,0.4528
09-JUN-2025,505685,20.95,19.96,0.0484,0.0437,0.0437,0.8349
09-JUN-2025,505690,1257.25,1246.50,0.0086,0.0381,0.0380,0.7260
09-JUN-2025,505693,8.83,8.91,-0.0090,0.0304,0.0303,0.5789
09-JUN-2025,505703,103.53,98.60,0.0488,0.0242,0.0244,0.4662
09-JUN-2025,505710,81.50,81.94,-0.0054,0.0255,0.0255,0.4872
09-JUN-2025,505712,202.05,194.85,0.0363,0.0334,0.0334,0.6381
09-JUN-2025,505725,1052.60,1053.85,-0.0012,0.0196,0.0195,0.3725
09-JUN-2025,505729,76.25,77.36,-0.0145,0.0291,0.0291,0.5560
09-JUN-2025,505737,878.75,879.35,-0.0007,0.0332,0.0331,0.6324
09-JUN-2025,505750,522.80,525.40,-0.0050,0.0375,0.0374,0.7145
09-JUN-2025,505797,28.90,30.40,-0.0506,0.0234,0.0236,0.4509
09-JUN-2025,505807,960.10,960.10,0.0000,0.0292,0.0291,0.5560
09-JUN-2025,505827,404.45,396.10,0.0209,0.0232,0.0232,0.4432
09-JUN-2025,505840,35.47,34.43,0.0298,0.0348,0.0348,0.6649
09-JUN-2025,505872,422.10,415.45,0.0159,0.0372,0.0371,0.7088
09-JUN-2025,505890,2382.15,2438.60,-0.0234,0.0264,0.0264,0.5044
09-JUN-2025,505893,1123.80,1113.90,0.0088,0.0395,0.0394,0.7527
09-JUN-2025,505978,2812.05,2815.00,-0.0010,0.0300,0.0299,0.5712
09-JUN-2025,506003,50.40,50.16,0.0048,0.0357,0.0356,0.6801
09-JUN-2025,506042,179.25,179.25,0.0000,0.0574,0.0572,1.0928
09-JUN-2025,506105,76.00,76.28,-0.0037,0.0325,0.0324,0.6190
09-JUN-2025,506122,208.00,218.90,-0.0511,0.0356,0.0357,0.6820
09-JUN-2025,506128,109.65,109.00,0.0059,0.0355,0.0354,0.6763
09-JUN-2025,506134,17.00,17.44,-0.0256,0.0307,0.0307,0.5865
09-JUN-2025,506161,3.19,3.19,0.0000,0.0000,0.0000,0.0000
09-JUN-2025,506166,294.40,294.40,0.0000,0.0102,0.0102,0.1949
09-JUN-2025,506178,17.01,17.01,0.0000,0.0022,0.0022,0.0420
09-JUN-2025,506180,516.00,505.90,0.0198,0.0238,0.0237,0.4528
09-JUN-2025,506186,42.39,43.25,-0.0201,0.0352,0.0351,0.6706
09-JUN-2025,506190,52.50,52.50,0.0000,0.0000,0.0000,0.0000
09-JUN-2025,506313,218.60,218.60,0.0000,0.0101,0.0101,0.1930
09-JUN-2025,506365,126.10,128.35,-0.0177,0.0373,0.0372,0.7107
09-JUN-2025,506414,328.25,321.90,0.0195,0.0368,0.0368,0.7031
09-JUN-2025,506520,7.90,7.94,-0.0051,0.0308,0.0307,0.5865
09-JUN-2025,506528,4660.80,4478.80,0.0398,0.0358,0.0358,0.6840
09-JUN-2025,506530,1347.85,1347.85,0.0000,0.0283,0.0282,0.5388
09-JUN-2025,506532,843.75,844.45,-0.0008,0.0216,0.0215,0.4108
09-JUN-2025,506543,11.88,12.50,-0.0509,0.0348,0.0349,0.6668
09-JUN-2025,506597,633.35,627.15,0.0098,0.0330,0.0329,0.6286
09-JUN-2025,506605,1977.65,1954.25,0.0119,0.0333,0.0333,0.6362
09-JUN-2025,506640,418.00,409.85,0.0197,0.0310,0.0309,0.5903
09-JUN-2025,506685,513.60,518.00,-0.0085,0.0244,0.0243,0.4643
09-JUN-2025,506687,1615.25,1621.35,-0.0038,0.0249,0.0248,0.4738
09-JUN-2025,506734,127.70,126.45,0.0098,0.0297,0.0296,0.5655
09-JUN-2025,506808,75.61,73.65,0.0263,0.0291,0.0291,0.5560
