,26-May-2026
The Nifty witnessed an intraday movement of about 204.35 points.The closing index was 0.49 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 127513.37
, Traded Quantity (in Lakhs), 52480.56
, Number of Trades, 35596118
, Total Market Capitalisation (Rs. Crores), 46915279.91

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     24031.70,     24004.10,     24089.80,     23885.45,     23913.70,-118.00
,NIFTY50 EQL Wgt,     32796.65,     32789.45,     32907.75,     32713.05,     32754.50,-42.15
,NIFTY100 EQL Wgt,     34148.80,     34160.65,     34271.85,     34067.80,     34163.35,14.55
,NIFTY100 LowVol30,     19824.30,     19821.20,     19840.15,     19688.15,     19717.05,-107.25
,NIFTY Alpha 50,     52873.30,     52959.50,     53260.75,     52792.50,     53131.50,258.20
,NIFTY MIDCAP 150,     22694.35,     22724.05,     22827.90,     22667.55,     22795.50,101.15
,NIFTY SMLCAP 50,      8977.90,      8988.05,      9066.45,      8983.00,      9013.75,35.85
,NIFTY SMLCAP 250,     16976.40,     16993.30,     17134.60,     16980.65,     17009.55,33.15
,NIFTY MIDSML 400,     20583.90,     20608.70,     20725.00,     20571.50,     20658.45,74.55
,NIFTY200 QUALTY30,     20210.55,     20220.60,     20305.80,     20190.55,     20246.15,35.60
,Nifty FinSrv25 50,     28493.15,     28486.80,     28581.40,     28280.50,     28325.65,-167.50
,NIFTY AlphaLowVol,     26201.45,     26204.80,     26225.25,     26031.80,     26070.60,-130.85
,Nifty200Momentm30,     30801.00,     30832.55,     30913.90,     30716.35,     30773.90,-27.10
,Nifty100ESGSecLdr,      4019.60,      4015.35,      4032.15,      3996.30,      4002.20,-17.40
,NIFTY100 ESG,      4864.00,      4863.30,      4883.20,      4846.35,      4855.55,-8.45
,NIFTY M150 QLTY50,     23823.00,     23839.15,     23928.65,     23793.75,     23899.30,76.30
,NIFTY INDIA MFG,     15947.50,     15943.50,     15989.05,     15914.25,     15954.30,6.80
,Nifty200 Alpha 30,     26143.75,     26183.45,     26290.75,     26095.45,     26247.90,104.15
,NiftyM150Momntm50,     63431.90,     63523.45,     63818.35,     63361.45,     63718.75,286.85
,Nifty50 USD,      8743.85,      8743.85,      8751.15,      8531.10,      8667.05,-76.80
,Nifty IT,     28979.85,     28970.50,     29203.10,     28919.05,     28978.50,-1.35
,Nifty Next 50,     70815.85,     70875.40,     71099.10,     70650.90,     70945.10,129.25
,Nifty Bank,     55293.65,     55311.80,     55536.80,     54979.75,     55092.90,-200.75
,NIFTY MIDCAP 100,     61966.60,     62037.25,     62365.25,     61875.85,     62298.90,332.30
,Nifty 500,     22929.45,     22925.65,     23015.00,     22858.20,     22897.20,-32.25
,Nifty 100,     25001.70,     24982.20,     25066.80,     24872.15,     24910.10,-91.60
,Nifty Midcap 50,     17650.60,     17673.90,     17764.75,     17633.75,     17741.15,90.55
,Nifty Realty,       786.05,       787.35,       789.95,       779.70,       782.00,-4.05
,Nifty Infra,      9460.20,      9450.00,      9466.55,      9403.95,      9418.30,-41.90
,Nifty Energy,     40578.80,     40574.60,     41031.95,     40506.05,     40814.60,235.80
,Nifty FMCG,     50157.75,     50223.80,     50300.45,     50030.10,     50227.35,69.60
,Nifty MNC,     32058.20,     32094.70,     32263.30,     32010.20,     32169.80,111.60
,Nifty Pharma,     24674.70,     24647.25,     24755.40,     24552.55,     24659.20,-15.50
,Nifty PSE,     10481.95,     10483.15,     10510.65,     10405.50,     10429.80,-52.15
,Nifty PSU Bank,      8238.10,      8259.15,      8299.35,      8165.80,      8200.20,-37.90
,Nifty Serv Sector,     30388.00,     30362.00,     30488.15,     30172.30,     30207.10,-180.90
,Nifty Auto,     26463.05,     26457.70,     26605.90,     26362.05,     26480.50,17.45
,Nifty Metal,     13345.65,     13350.20,     13516.35,     13319.15,     13492.55,146.90
,Nifty Media,      1378.45,      1382.05,      1393.70,      1371.90,      1375.15,-3.30
,NIFTY SMLCAP 100,     18202.70,     18227.20,     18393.10,     18217.15,     18267.20,64.50
,Nifty 200,     13849.10,     13843.55,     13891.00,     13799.15,     13823.15,-25.95
,Nifty Div Opps 50,      5938.50,      5941.10,      5963.20,      5917.85,      5930.40,-8.10
,Nifty Commodities,     10345.50,     10346.45,     10429.40,     10326.40,     10395.30,49.80
,Nifty Consumption,     11414.15,     11413.70,     11452.85,     11371.65,     11399.15,-15.00
,Nifty Fin Service,     26102.15,     26092.55,     26179.40,     25886.25,     25932.25,-169.90
,Nifty50 Div Point,        39.27,        39.27,        39.27,        39.27,        39.27,0.00
,Nifty100 Liq 15,      7215.25,      7212.10,      7245.25,      7180.85,      7191.55,-23.70
,Nifty CPSE,      7156.65,      7166.95,      7220.20,      7136.20,      7149.10,-7.55
,Nifty GrowSect 15,     10891.25,     10877.45,     10910.30,     10844.10,     10863.15,-28.10
,Nifty50 PR 2x Lev,     12038.15,     12008.75,     12094.30,     11889.85,     11918.15,-120.00
,Nifty50 PR 1x Inv,       219.15,       219.45,       220.50,       218.65,       220.25,1.10
,Nifty50 TR 2x Lev,     18115.25,     18071.05,     18199.80,     17892.10,     17934.70,-180.55
,Nifty50 TR 1x Inv,       178.90,       179.10,       180.00,       178.50,       179.80,0.90
,Nifty50 Value 20,     12129.95,     12129.45,     12188.70,     12072.85,     12087.95,-42.00
,Nifty Mid Liq 15,     16881.40,     16905.30,     17071.70,     16879.40,     17030.65,149.25
,Nifty Pvt Bank,     26927.10,     26909.40,     27023.10,     26714.40,     26760.80,-166.30
,NIFTY100 Qualty30,      5554.10,      5557.45,      5583.10,      5550.20,      5560.65,6.55
,Nifty GS 8 13Yr,      2973.93,      2974.48,      2974.50,      2972.21,      2973.34,-0.59
,Nifty GS 10Yr,      2605.68,      2606.18,      2606.41,      2603.86,      2605.30,-0.38
,Nifty GS 10Yr Cln,       865.30,       865.30,       865.38,       864.53,       865.01,-0.29
,Nifty GS 4 8Yr,      3248.08,      3248.67,      3248.69,      3245.60,      3245.84,-2.24
,Nifty GS 11 15Yr,      3249.56,      3250.19,      3250.19,      3242.67,      3244.41,-5.15
,Nifty GS 15YrPlus,      3446.53,      3447.24,      3447.61,      3439.16,      3439.97,-6.56
,Nifty GS Compsite,      3052.95,      3053.53,      3053.54,      3049.78,      3050.69,-2.26
,NIFTY HEALTHCARE,     15704.90,     15688.95,     15750.35,     15611.35,     15663.65,-41.25
,NIFTY CONSR DURBL,     35671.05,     35650.80,     35663.35,     35189.15,     35294.95,-376.10
,NIFTY OIL AND GAS,     11524.60,     11502.60,     11576.20,     11480.65,     11515.60,-9.00
