,25-Jun-2026
The Nifty witnessed an intraday movement of about 222.6 points.The closing index was 0.14 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 136051.69
, Traded Quantity (in Lakhs), 53226.65
, Number of Trades, 37874452
, Total Market Capitalisation (Rs. Crores), 47479950.52

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     24021.65,     24125.85,     24261.60,     24039.00,     24056.00,34.35
,NIFTY50 EQL Wgt,     32549.65,     32671.10,     32824.80,     32541.60,     32575.10,25.45
,NIFTY100 EQL Wgt,     34322.00,     34453.65,     34598.10,     34314.60,     34348.15,26.15
,NIFTY100 LowVol30,     19777.20,     19866.55,     19968.30,     19803.55,     19820.80,43.60
,NIFTY Alpha 50,     53922.25,     54070.90,     54216.55,     53490.40,     53550.70,-371.55
,NIFTY MIDCAP 150,     22872.50,     22967.75,     23005.70,     22723.45,     22751.05,-121.45
,NIFTY SMLCAP 50,      9332.05,      9369.45,      9373.10,      9286.95,      9295.95,-36.10
,NIFTY SMLCAP 250,     17784.65,     17860.95,     17871.50,     17681.40,     17704.70,-79.95
,NIFTY MIDSML 400,     21018.20,     21106.65,     21133.25,     20886.65,     20912.45,-105.75
,NIFTY200 QUALTY30,     19779.95,     19844.45,     19931.50,     19740.55,     19759.50,-20.45
,Nifty FinSrv25 50,     29007.75,     29166.50,     29324.00,     29019.00,     29038.15,30.40
,NIFTY AlphaLowVol,     26362.00,     26458.10,     26626.65,     26417.85,     26443.30,81.30
,Nifty200Momentm30,     31167.70,     31313.60,     31503.95,     31156.70,     31184.40,16.70
,Nifty100ESGSecLdr,      4020.00,      4037.70,      4056.00,      4017.20,      4020.00,0.00
,NIFTY100 ESG,      4886.20,      4908.20,      4928.75,      4882.40,      4885.75,-0.45
,NIFTY M150 QLTY50,     24234.10,     24316.95,     24357.20,     24097.65,     24121.90,-112.20
,NIFTY INDIA MFG,     15885.20,     15928.20,     16031.25,     15913.70,     15925.25,40.05
,Nifty200 Alpha 30,     26286.00,     26361.30,     26435.65,     26132.90,     26162.85,-123.15
,NiftyM150Momntm50,     63938.45,     64220.55,     64373.35,     63617.70,     63675.75,-262.70
,Nifty50 USD,      8793.45,      8793.45,      8901.15,      8787.95,      8830.35,36.90
,Nifty IT,     27566.70,     27801.40,     27881.00,     27295.10,     27330.85,-235.85
,Nifty Next 50,     72060.50,     72341.90,     72735.65,     72143.25,     72199.55,139.05
,Nifty Bank,     58150.35,     58493.85,     58706.05,     58109.85,     58177.05,26.70
