,29-Jun-2026
The Nifty witnessed an intraday movement of about 195.45 points.The closing index was 0.46 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 183491.87
, Traded Quantity (in Lakhs), 62895.22
, Number of Trades, 47267541
, Total Market Capitalisation (Rs. Crores), 47291818.38

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     24056.00,     24061.75,     24120.00,     23924.55,     23946.25,-109.75
,NIFTY50 EQL Wgt,     32575.10,     32623.75,     32703.00,     32419.75,     32449.30,-125.80
,NIFTY100 EQL Wgt,     34348.15,     34368.75,     34405.60,     34085.40,     34136.10,-212.05
,NIFTY100 LowVol30,     19820.80,     19859.70,     19923.90,     19720.70,     19733.45,-87.35
,NIFTY Alpha 50,     53550.70,     53583.20,     53694.40,     52952.25,     53502.10,-48.60
,NIFTY MIDCAP 150,     22751.05,     22737.35,     22785.75,     22539.35,     22679.65,-71.40
,NIFTY SMLCAP 50,      9295.95,      9292.75,      9306.30,      9200.45,      9235.05,-60.90
,NIFTY SMLCAP 250,     17704.70,     17701.15,     17715.55,     17544.30,     17619.60,-85.10
,NIFTY MIDSML 400,     20912.45,     20902.75,     20937.75,     20719.80,     20834.90,-77.55
,NIFTY200 QUALTY30,     19759.50,     19742.30,     19781.05,     19576.80,     19613.00,-146.50
,Nifty FinSrv25 50,     29038.15,     29078.95,     29193.60,     28843.25,     28897.95,-140.20
,NIFTY AlphaLowVol,     26443.30,     26477.70,     26577.40,     26260.65,     26293.35,-149.95
,Nifty200Momentm30,     31184.40,     31152.35,     31348.50,     30849.30,     30937.95,-246.45
,Nifty100ESGSecLdr,      4020.00,      4020.90,      4031.05,      3996.90,      4001.70,-18.30
,NIFTY100 ESG,      4885.75,      4888.25,      4899.20,      4852.15,      4858.35,-27.40
,NIFTY M150 QLTY50,     24121.90,     24069.10,     24123.60,     23791.55,     23866.25,-255.65
,NIFTY INDIA MFG,     15925.25,     15931.95,     15956.80,     15775.15,     15821.40,-103.85
,Nifty200 Alpha 30,     26162.85,     26183.55,     26353.60,     25962.20,     26259.90,97.05
,NiftyM150Momntm50,     63675.75,     63649.45,     63856.00,     62798.75,     63142.20,-533.55
,Nifty50 USD,      8830.45,      8830.45,      8918.55,      8765.60,      8788.45,-42.00
,Nifty IT,     27330.85,     27172.20,     27313.35,     26965.35,     27038.50,-292.35
,Nifty Next 50,     72199.55,     72179.65,     72266.25,     71316.45,     71510.30,-689.25
,Nifty Bank,     58177.05,     58191.45,     58318.05,     57637.25,     57727.35,-449.70
,NIFTY MIDCAP 100,     61795.50,     61758.40,     61890.55,     61198.70,     61567.30,-228.20
,Nifty 500,     23113.70,     23112.60,     23148.75,     22943.85,     23000.00,-113.70
,Nifty 100,     25114.10,     25117.75,     25157.05,     24946.30,     24976.70,-137.40
,Nifty Midcap 50,     17587.85,     17573.80,     17635.75,     17437.15,     17521.00,-66.85
,Nifty Realty,       826.25,       826.45,       830.00,       816.45,       818.85,-7.40
,Nifty Infra,      9460.50,      9452.00,      9459.15,      9367.95,      9385.05,-75.45
