,25-Aug-2026
The Nifty witnessed an intraday movement of about 219.1 points.The closing index was 0.48 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 106655.03
, Traded Quantity (in Lakhs), 60579.45
, Number of Trades, 34295670
, Total Market Capitalisation (Rs. Crores), 49301661.28

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     24219.05,     24175.75,     24334.55,     24115.45,     24334.55,115.50
,NIFTY50 EQL Wgt,     33104.80,     33074.50,     33260.70,     32929.70,     33260.70,155.90
,NIFTY100 EQL Wgt,     35161.25,     35122.90,     35349.55,     34983.95,     35347.70,186.45
,NIFTY100 LowVol30,     20231.40,     20206.05,     20316.45,     20132.00,     20316.45,85.05
,NIFTY Alpha 50,     56679.25,     56535.65,     57052.10,     56382.50,     57036.50,357.25
,NIFTY MIDCAP 150,     23423.70,     23418.85,     23536.15,     23349.85,     23528.95,105.25
,NIFTY SMLCAP 50,      9952.25,      9931.75,      9952.05,      9887.65,      9950.25,-2.00
,NIFTY SMLCAP 250,     18375.45,     18376.75,     18388.95,     18296.80,     18347.15,-28.30
,NIFTY MIDSML 400,     21590.60,     21588.20,     21648.55,     21523.30,     21642.90,52.30
,NIFTY200 QUALTY30,     20576.85,     20564.00,     20666.80,     20430.25,     20666.80,89.95
,Nifty FinSrv25 50,     28466.40,     28397.70,     28565.55,     28329.50,     28565.55,99.15
,NIFTY AlphaLowVol,     27194.75,     27167.95,     27282.35,     27049.25,     27282.35,87.60
,Nifty200Momentm30,     31147.00,     31125.40,     31332.30,     30967.50,     31332.30,185.30
,Nifty100ESGSecLdr,      4068.35,      4061.25,      4091.25,      4051.55,      4091.25,22.90
,NIFTY100 ESG,      5048.70,      5043.05,      5078.95,      5028.00,      5078.95,30.25
,NIFTY M150 QLTY50,     24627.25,     24619.10,     24703.00,     24504.60,     24681.80,54.55
,NIFTY INDIA MFG,     16511.30,     16485.15,     16581.75,     16396.25,     16579.50,68.20
,Nifty200 Alpha 30,     27005.95,     26988.55,     27287.40,     26912.00,     27287.40,281.45
,NiftyM150Momntm50,     64094.10,     64092.75,     64568.75,     63959.60,     64565.05,470.95
,Nifty50 USD,      8764.75,      8764.75,      8838.75,      8681.50,      8838.75,74.00
,Nifty IT,     30596.90,     30692.35,     30771.80,     30283.40,     30771.80,174.90
,Nifty Next 50,     74022.40,     73930.35,     74521.10,     73646.00,     74508.90,486.50
,Nifty Bank,     57525.95,     57360.65,     57653.85,     57231.25,     57514.20,-11.75
,NIFTY MIDCAP 100,     63817.25,     63799.50,     64169.80,     63602.20,     64162.90,345.65
,Nifty 500,     23511.75,     23483.95,     23613.90,     23423.35,     23611.60,99.85
,Nifty 100,     25369.95,     25327.15,     25500.30,     25260.20,     25499.50,129.55
,Nifty Midcap 50,     18331.75,     18330.55,     18412.25,     18265.15,     18412.25,80.50
,Nifty Realty,       917.10,       915.55,       918.75,       910.50,       917.80,0.70
,Nifty Infra,      9342.60,      9320.25,      9401.35,      9300.35,      9401.35,58.75
,Nifty Energy,     38335.85,     38287.60,     38316.90,     38046.45,     38310.85,-25.00
,Nifty FMCG,     47527.80,     47463.55,     47710.95,     47201.30,     47706.95,179.15
,Nifty MNC,     33168.60,     33146.25,     33263.85,     32962.25,     33251.85,83.25
,Nifty Pharma,     26339.30,     26340.20,     26574.00,     26214.90,     26564.00,224.70
,Nifty PSE,      9781.85,      9770.40,      9797.55,      9713.70,      9797.35,15.50
,Nifty PSU Bank,      8539.75,      8520.60,      8604.90,      8488.10,      8603.65,63.90
,Nifty Serv Sector,     30857.55,     30803.45,     30999.60,     30755.90,     30999.60,142.05
,Nifty Auto,     29101.30,     29048.30,     29217.70,     28894.95,     29216.90,115.60
,Nifty Metal,     13381.45,     13345.70,     13372.30,     13222.35,     13372.30,-9.15
,Nifty Media,      1603.30,      1612.40,      1629.70,      1598.85,      1610.00,6.70
,NIFTY SMLCAP 100,     19926.75,     19911.40,     19926.10,     19832.70,     19906.60,-20.15
,Nifty 200,     14095.15,     14075.40,     14168.70,     14040.70,     14168.05,72.90
,Nifty Div Opps 50,      5878.25,      5877.95,      5908.10,      5846.40,      5907.75,29.50
,Nifty Commodities,      9847.50,      9835.90,      9866.70,      9778.35,      9866.35,18.85
,Nifty Consumption,     12009.55,     11995.50,     12094.05,     11956.75,     12094.05,84.50
,Nifty Fin Service,     26158.50,     26092.00,     26246.95,     26034.15,     26246.95,88.45
,Nifty50 Div Point,       189.56,       189.56,       189.56,       189.56,       189.56,0.00
,Nifty100 Liq 15,      7627.45,      7608.95,      7688.95,      7591.00,      7688.95,61.50
,Nifty CPSE,      6468.30,      6461.70,      6463.00,      6416.65,      6461.35,-6.95
,Nifty GrowSect 15,     11552.35,     11553.05,     11640.15,     11498.15,     11640.15,87.80
,Nifty50 PR 2x Lev,     12034.85,     11990.10,     12147.95,     11930.30,     12147.95,113.10
,Nifty50 PR 1x Inv,       219.55,       219.95,       220.50,       218.55,       218.55,-1.00
,Nifty50 TR 2x Lev,     18337.55,     18269.40,     18509.90,     18178.25,     18509.90,172.35
,Nifty50 TR 1x Inv,       178.15,       178.50,       178.95,       177.35,       177.35,-0.80
,Nifty50 Value 20,     11860.40,     11838.85,     11888.50,     11791.30,     11888.50,28.10
,Nifty Mid Liq 15,     17466.55,     17461.95,     17616.90,     17401.85,     17616.90,150.35
,Nifty Pvt Bank,     27501.80,     27407.35,     27530.70,     27333.10,     27447.45,-54.35
,NIFTY100 Qualty30,      5701.40,      5698.10,      5733.80,      5665.60,      5733.80,32.40
,Nifty GS 8 13Yr,      3054.59,      3055.15,      3058.41,      3052.35,      3057.54,2.95
,Nifty GS 10Yr,      2673.05,      2673.55,      2678.35,      2670.85,      2676.78,3.73
,Nifty GS 10Yr Cln,       872.84,       872.84,       874.43,       871.94,       873.91,1.07
,Nifty GS 4 8Yr,      3341.24,      3341.85,      3346.01,      3341.51,      3346.01,4.77
,Nifty GS 11 15Yr,      3387.16,      3387.80,      3391.35,      3385.42,      3387.20,0.04
,Nifty GS 15YrPlus,      3564.56,      3565.29,      3568.50,      3561.02,      3568.06,3.50
,Nifty GS Compsite,      3146.35,      3146.94,      3150.59,      3144.50,      3149.81,3.46
,NIFTY HEALTHCARE,     16418.00,     16410.40,     16600.55,     16335.00,     16597.45,179.45
,NIFTY CONSR DURBL,     40452.55,     40313.20,     40829.40,     40224.50,     40829.40,376.85
,NIFTY OIL AND GAS,     11197.00,     11177.25,     11216.90,     11132.70,     11214.90,17.90
,NIFTY500 MULTICAP,     16696.25,     16681.75,     16753.25,     16636.20,     16750.90,54.65
,NIFTY LARGEMID250,     16861.95,     16846.05,     16945.70,     16804.85,     16942.85,80.90
,NIFTY MID SELECT,     14898.50,     14885.55,     15000.90,     14834.35,     15000.90,102.40
,NIFTY TOTAL MKT,     13285.60,     13271.90,     13338.00,     13234.45,     13336.85,51.25
,NIFTY MICROCAP250,     26401.30,     26457.90,     26480.05,     26238.00,     26286.75,-114.55
,NIFTY IND DIGITAL,      8764.95,      8779.90,      8855.40,      8736.65,      8854.60,89.65
,Nifty Tata 25 Cap,     14514.00,     14539.10,     14572.15,     14424.05,     14566.70,52.70
,Nifty MidSml Hlth,     51652.70,     51699.50,     52109.95,     51395.90,     52052.70,400.00
,Nifty Multi Mfg,     16988.20,     16954.95,     17035.50,     16869.50,     17034.45,46.25
,Nifty Multi Infra,     14629.80,     14609.50,     14698.15,     14580.90,     14698.15,68.35
,BHARATBOND-APR30,      1607.13,      1607.46,      1607.46,      1607.13,      1607.13,0.00
,BHARATBOND-APR31,      1459.67,      1459.95,      1459.95,      1459.48,      1459.48,-0.19
,BHARATBOND-APR32,      1325.31,      1325.57,      1325.57,      1325.53,      1325.53,0.22
,BHARATBOND-APR33,      1284.00,      1284.26,      1284.26,      1284.25,      1284.26,0.26
,Nifty Ind Defence,      9739.60,      9726.10,      9763.35,      9635.45,      9763.35,23.75
,Nifty Ind Tourism,      7993.25,      7999.15,      8076.90,      7970.95,      8072.10,78.85
,Nifty Capital Mkt,      5457.25,      5462.80,      5510.05,      5451.75,      5508.65,51.40
,Nifty500Momentm50,     55160.65,     55137.55,     55431.30,     54893.10,     55430.90,270.25
,NiftyMS400 MQ 100,     52020.30,     51990.85,     52131.30,     51788.70,     52124.75,104.45
,NiftySml250MQ 100,     48866.00,     48847.45,     48905.35,     48606.15,     48792.30,-73.70
,Nifty Top 10 EW,      8604.65,      8592.35,      8645.45,      8572.85,      8645.45,40.80
,Nifty AQL 30,     22919.75,     22909.20,     23030.95,     22806.40,     23030.95,111.20
,Nifty AQLV 30,     20239.80,     20221.95,     20247.00,     20093.95,     20247.00,7.20
,Nifty EV,      3329.40,      3324.25,      3332.45,      3306.35,      3331.55,2.15
,Nifty HighBeta 50,      4540.00,      4522.90,      4583.15,      4510.00,      4582.15,42.15
,Nifty New Consump,     12251.40,     12245.70,     12368.95,     12213.35,     12368.05,116.65
