,31-Aug-2026
The Nifty witnessed an intraday movement of about 135.1 points.The closing index was 0.39 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 181717.85
, Traded Quantity (in Lakhs), 66956.63
, Number of Trades, 40308351
, Total Market Capitalisation (Rs. Crores), 49038698.05

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     24175.65,     24117.55,     24128.70,     23993.60,     24080.40,-95.25
,NIFTY50 EQL Wgt,     33114.35,     33025.60,     33029.65,     32771.85,     32982.10,-132.25
,NIFTY100 EQL Wgt,     35205.60,     35085.70,     35087.75,     34748.60,     34994.75,-210.85
,NIFTY100 LowVol30,     20225.40,     20178.95,     20222.10,     20052.35,     20222.10,-3.30
,NIFTY Alpha 50,     57712.20,     57609.70,     57639.85,     56979.15,     57539.10,-173.10
,NIFTY MIDCAP 150,     23507.15,     23476.75,     23544.40,     23257.95,     23536.80,29.65
,NIFTY SMLCAP 50,     10015.00,      9999.45,     10003.70,      9891.00,      9937.70,-77.30
,NIFTY SMLCAP 250,     18496.15,     18479.85,     18486.25,     18270.70,     18372.10,-124.05
,NIFTY MIDSML 400,     21689.80,     21664.80,     21671.15,     21451.10,     21658.00,-31.80
,NIFTY200 QUALTY30,     20609.10,     20552.70,     20579.35,     20342.25,     20579.35,-29.75
,Nifty FinSrv25 50,     28463.50,     28394.15,     28487.90,     28229.50,     28487.90,24.40
,NIFTY AlphaLowVol,     27115.75,     27041.95,     27182.55,     26876.75,     27182.55,66.80
,Nifty200Momentm30,     31528.85,     31427.15,     31440.55,     30954.15,     31351.75,-177.10
,Nifty100ESGSecLdr,      4052.35,      4041.95,      4043.85,      4016.30,      4027.50,-24.85
,NIFTY100 ESG,      5043.65,      5029.50,      5031.20,      4991.65,      5021.75,-21.90
,NIFTY M150 QLTY50,     24786.80,     24769.00,     24770.15,     24478.15,     24679.95,-106.85
,NIFTY INDIA MFG,     16558.45,     16502.00,     16583.85,     16371.60,     16582.95,24.50
,Nifty200 Alpha 30,     27423.05,     27327.25,     27340.35,     26916.85,     27179.50,-243.55
,NiftyM150Momntm50,     64955.95,     64853.35,     65309.35,     64239.15,     65309.35,353.40
,Nifty50 USD,      8781.95,      8781.90,      8781.90,      8650.60,      8771.00,-10.95
,Nifty IT,     31281.70,     31225.50,     31277.50,     30634.45,     31191.45,-90.25
,Nifty Next 50,     74159.15,     73886.75,     73886.75,     73085.50,     73759.70,-399.45
,Nifty Bank,     57496.30,     57353.75,     58024.95,     57187.35,     58024.95,528.65
,NIFTY MIDCAP 100,     64069.50,     63980.40,     64230.75,     63347.50,     64224.75,155.25
,Nifty 500,     23528.55,     23477.75,     23485.15,     23307.20,     23450.35,-78.20
,Nifty 100,     25341.75,     25274.80,     25284.60,     25118.00,     25235.05,-106.70
,Nifty Midcap 50,     18405.80,     18380.90,     18491.45,     18207.75,     18491.45,85.65
,Nifty Realty,       908.85,       905.80,       905.80,       888.40,       904.15,-4.70
,Nifty Infra,      9242.70,      9216.20,      9216.70,      9156.60,      9179.40,-63.30
,Nifty Energy,     38003.65,     37998.35,     38010.25,     37670.05,     37949.25,-54.40
,Nifty FMCG,     46815.00,     46706.00,     46722.10,     46023.20,     46025.55,-789.45
,Nifty MNC,     33074.55,     32972.65,     33034.05,     32726.55,     33033.55,-41.00
,Nifty Pharma,     26991.85,     27001.85,     27188.45,     26713.10,     27186.45,194.60
,Nifty PSE,      9689.25,      9681.45,      9704.45,      9593.20,      9704.40,15.15
,Nifty PSU Bank,      8604.30,      8561.00,      8609.60,      8451.80,      8609.55,5.25
,Nifty Serv Sector,     30900.20,     30851.50,     30900.05,     30647.30,     30836.20,-64.00
,Nifty Auto,     28851.80,     28772.55,     28933.30,     28671.50,     28841.50,-10.30
,Nifty Metal,     13525.35,     13425.80,     13435.20,     13186.60,     13193.90,-331.45
,Nifty Media,      1602.90,      1603.50,      1603.80,      1530.20,      1557.35,-45.55
,NIFTY SMLCAP 100,     20080.00,     20061.15,     20068.60,     19830.55,     19931.65,-148.35
