,16-Sep-2026
The Nifty witnessed an intraday movement of about 168.65 points.The closing index was 0.43 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 110767.64
, Traded Quantity (in Lakhs), 48405.95
, Number of Trades, 43673752
, Total Market Capitalisation (Rs. Crores), 47229058.96

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     23118.60,     23201.60,     23284.75,     23116.10,     23217.60,99.00
,NIFTY50 EQL Wgt,     31555.60,     31668.95,     31796.10,     31526.15,     31669.65,114.05
,NIFTY100 EQL Wgt,     33339.30,     33391.05,     33553.25,     33174.45,     33426.35,87.05
,NIFTY100 LowVol30,     19233.00,     19294.50,     19393.75,     19235.25,     19298.70,65.70
,NIFTY Alpha 50,     54486.90,     54541.80,     54737.50,     53706.95,     54665.60,178.70
,NIFTY MIDCAP 150,     22358.80,     22397.60,     22451.90,     22101.20,     22368.80,10.00
,NIFTY SMLCAP 50,      9713.70,      9699.20,      9754.70,      9532.70,      9698.10,-15.60
,NIFTY SMLCAP 250,     17892.80,     17878.75,     17915.45,     17524.40,     17863.30,-29.50
,NIFTY MIDSML 400,     20750.70,     20768.60,     20812.85,     20446.70,     20744.90,-5.80
,NIFTY200 QUALTY30,     19456.05,     19501.55,     19614.10,     19392.75,     19496.35,40.30
,Nifty FinSrv25 50,     27102.60,     27195.25,     27320.50,     27071.40,     27291.55,188.95
,NIFTY AlphaLowVol,     25743.70,     25794.70,     25989.65,     25731.50,     25954.05,210.35
,Nifty200Momentm30,     29731.75,     29705.65,     29805.30,     29314.65,     29703.50,-28.25
,Nifty100ESGSecLdr,      3870.30,      3882.00,      3898.55,      3867.30,      3883.95,13.65
,NIFTY100 ESG,      4790.65,      4802.55,      4823.85,      4780.55,      4807.05,16.40
,NIFTY M150 QLTY50,     23239.05,     23248.25,     23322.20,     22990.00,     23207.15,-31.90
,NIFTY INDIA MFG,     15584.65,     15592.90,     15664.70,     15459.70,     15615.90,31.25
,Nifty200 Alpha 30,     25710.75,     25741.70,     25854.30,     25378.75,     25750.15,39.40
,NiftyM150Momntm50,     61784.40,     61853.85,     62026.15,     60852.40,     61752.25,-32.15
,Nifty50 USD,      8347.85,      8347.85,      8433.25,      8313.25,      8385.75,37.90
,Nifty IT,     29555.30,     29696.45,     29763.40,     28974.90,     29087.65,-467.65
,Nifty Next 50,     70281.15,     70240.40,     70631.90,     69592.15,     70368.60,87.45
,Nifty Bank,     55794.75,     56007.65,     56368.70,     55812.20,     56292.45,497.70
,NIFTY MIDCAP 100,     60878.25,     60986.00,     61150.40,     60189.05,     60874.20,-4.05
,Nifty 500,     22477.45,     22526.55,     22596.15,     22342.75,     22532.00,54.55
,Nifty 100,     24193.00,     24261.10,     24356.65,     24147.75,     24282.95,89.95
,Nifty Midcap 50,     17556.35,     17607.90,     17662.65,     17373.70,     17560.10,3.75
,Nifty Realty,       814.25,       812.65,       826.65,       805.55,       822.30,8.05
,Nifty Infra,      8910.75,      8937.75,      8969.10,      8882.40,      8908.70,-2.05
,Nifty Energy,     37147.95,     37184.95,     37323.60,     36843.35,     37183.40,35.45
,Nifty FMCG,     44829.95,     44971.40,     45748.70,     44964.45,     45559.00,729.05
,Nifty MNC,     31037.50,     31048.45,     31266.85,     30879.65,     31115.00,77.50
,Nifty Pharma,     26188.40,     26185.55,     26298.60,     25854.80,     26146.20,-42.20
,Nifty PSE,      9467.00,      9487.45,      9529.75,      9413.80,      9494.70,27.70
,Nifty PSU Bank,      8158.50,      8200.55,      8300.00,      8173.50,      8275.90,117.40
,Nifty Serv Sector,     29728.85,     29834.80,     29893.85,     29656.95,     29802.35,73.50
,Nifty Auto,     26756.60,     26769.30,     27055.70,     26702.00,     26893.65,137.05
,Nifty Metal,     12669.15,     12700.75,     12803.55,     12553.10,     12739.10,69.95
,Nifty Media,      1503.90,      1505.80,      1529.10,      1486.05,      1515.05,11.15
,NIFTY SMLCAP 100,     19422.45,     19398.50,     19471.75,     19036.30,     19388.30,-34.15
,Nifty 200,     13442.25,     13477.20,     13522.85,     13391.40,     13481.90,39.65
,Nifty Div Opps 50,      5615.75,      5634.80,      5661.30,      5607.25,      5631.80,16.05
,Nifty Commodities,      9407.55,      9429.85,      9480.95,      9376.55,      9442.15,34.60
,Nifty Consumption,     11282.80,     11308.25,     11397.55,     11272.20,     11361.65,78.85
,Nifty Fin Service,     25076.65,     25167.65,     25305.45,     25057.25,     25262.40,185.75
,Nifty50 Div Point,       196.79,       196.79,       196.79,       196.79,       196.79,0.00
,Nifty100 Liq 15,      7208.55,      7239.60,      7277.15,      7202.05,      7247.55,39.00
,Nifty CPSE,      6308.45,      6320.25,      6342.85,      6282.55,      6314.95,6.50
,Nifty GrowSect 15,     10980.70,     11018.60,     11066.40,     10952.85,     10967.65,-13.05
,Nifty50 PR 2x Lev,     10930.70,     11007.70,     11086.35,     10927.15,     11022.85,92.15
,Nifty50 PR 1x Inv,       230.55,       229.75,       230.60,       228.90,       229.55,-1.00
,Nifty50 TR 2x Lev,     16665.30,     16782.70,     16902.55,     16659.85,     16805.80,140.50
,Nifty50 TR 1x Inv,       187.00,       186.35,       187.05,       185.70,       186.20,-0.80
