,22-Sep-2026
The Nifty witnessed an intraday movement of about 203.25 points.The closing index was 0.36 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 104968.66
, Traded Quantity (in Lakhs), 49200.56
, Number of Trades, 38850535
, Total Market Capitalisation (Rs. Crores), 47988304.67

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     23414.30,     23454.05,     23489.00,     23285.75,     23329.00,-85.30
,NIFTY50 EQL Wgt,     32027.45,     32115.55,     32157.10,     31865.65,     31948.40,-79.05
,NIFTY100 EQL Wgt,     34009.20,     34083.05,     34143.05,     33836.50,     33903.25,-105.95
,NIFTY100 LowVol30,     19461.20,     19499.05,     19520.00,     19331.40,     19359.90,-101.30
,NIFTY Alpha 50,     55808.95,     56004.30,     56171.45,     55390.30,     55466.15,-342.80
,NIFTY MIDCAP 150,     22816.80,     22861.85,     22908.75,     22726.95,     22787.20,-29.60
,NIFTY SMLCAP 50,      9948.15,      9964.30,      9984.40,      9885.55,      9904.85,-43.30
,NIFTY SMLCAP 250,     18279.05,     18327.05,     18361.35,     18229.90,     18260.60,-18.45
,NIFTY MIDSML 400,     21183.70,     21230.25,     21268.80,     21109.85,     21158.30,-25.40
,NIFTY200 QUALTY30,     19649.40,     19693.65,     19704.55,     19514.60,     19550.75,-98.65
,Nifty FinSrv25 50,     27608.00,     27641.55,     27751.85,     27470.90,     27503.60,-104.40
,NIFTY AlphaLowVol,     26224.30,     26290.00,     26339.25,     26066.95,     26098.30,-126.00
,Nifty200Momentm30,     30328.15,     30414.95,     30554.20,     30257.35,     30293.15,-35.00
,Nifty100ESGSecLdr,      3924.20,      3928.25,      3935.10,      3903.30,      3910.50,-13.70
,NIFTY100 ESG,      4864.60,      4870.80,      4877.55,      4834.40,      4844.15,-20.45
,NIFTY M150 QLTY50,     23618.55,     23666.60,     23702.55,     23501.70,     23543.55,-75.00
,NIFTY INDIA MFG,     15945.15,     15982.00,     16024.35,     15856.05,     15890.50,-54.65
,Nifty200 Alpha 30,     26292.80,     26358.05,     26466.25,     26196.80,     26250.70,-42.10
,NiftyM150Momntm50,     63059.65,     63202.45,     63442.90,     62796.90,     62974.00,-85.65
,Nifty50 USD,      8467.30,      8467.30,      8504.45,      8397.85,      8458.35,-8.95
,Nifty IT,     28830.90,     28810.55,     28824.55,     28332.15,     28582.10,-248.80
,Nifty Next 50,     72083.95,     72213.25,     72407.80,     71729.40,     71804.05,-279.90
,Nifty Bank,     56470.65,     56489.90,     56671.10,     56106.95,     56215.55,-255.10
,NIFTY MIDCAP 100,     62013.10,     62144.40,     62260.85,     61767.00,     61963.15,-49.95
,Nifty 500,     22860.05,     22902.85,     22938.20,     22751.35,     22794.20,-65.85
,Nifty 100,     24560.35,     24602.45,     24641.40,     24428.25,     24469.75,-90.60
,Nifty Midcap 50,     17879.65,     17909.35,     17949.00,     17812.40,     17878.60,-1.05
,Nifty Realty,       853.85,       858.90,       865.10,       855.35,       861.50,7.65
,Nifty Infra,      9058.20,      9078.95,      9093.70,      9006.10,      9020.80,-37.40
,Nifty Energy,     37818.55,     37979.00,     38104.10,     37669.55,     37727.00,-91.55
,Nifty FMCG,     45900.90,     46006.05,     46060.70,     45613.40,     45657.75,-243.15
