,01-Feb-2026
The Nifty witnessed an intraday movement of about 869.15 points.The closing index was 1.96 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 116984.25
, Traded Quantity (in Lakhs), 53082.33
, Number of Trades, 36659216
, Total Market Capitalisation (Rs. Crores), 44874409.45

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     25320.65,     25333.75,     25440.90,     24571.75,     24825.45,-495.20
,NIFTY50 EQL Wgt,     32701.65,     32703.90,     32837.45,     31675.65,     31974.60,-727.05
,NIFTY100 EQL Wgt,     33216.15,     33169.95,     33324.60,     32075.70,     32462.20,-753.95
,NIFTY100 LowVol30,     20447.25,     20504.90,     20529.70,     19975.95,     20149.20,-298.05
,NIFTY Alpha 50,     48636.85,     48425.30,     48434.50,     46191.65,     46961.25,-1675.60
,NIFTY MIDCAP 150,     21490.90,     21499.60,     21562.10,     20703.95,     21041.80,-449.10
,NIFTY SMLCAP 50,      8189.35,      8121.65,      8131.60,      7833.65,      7968.60,-220.75
,NIFTY SMLCAP 250,     15763.45,     15701.25,     15737.75,     15228.95,     15421.05,-342.40
,NIFTY MIDSML 400,     19365.95,     19345.35,     19397.70,     18676.25,     18955.90,-410.05
,NIFTY200 QUALTY30,     21005.25,     21012.25,     21057.15,     20249.25,     20569.60,-435.65
,Nifty FinSrv25 50,     29773.10,     29749.50,     29877.85,     28709.00,     29069.30,-703.80
,NIFTY AlphaLowVol,     26297.05,     26353.75,     26396.40,     25613.00,     25791.55,-505.50
,Nifty200Momentm30,     30327.15,     30234.60,     30295.95,     28916.10,     29415.15,-912.00
,Nifty100ESGSecLdr,      4220.80,      4216.45,      4233.75,      4105.95,      4150.80,-70.00
,NIFTY100 ESG,      5070.75,      5064.35,      5082.15,      4918.95,      4985.45,-85.30
,NIFTY M150 QLTY50,     23115.80,     23134.30,     23208.35,     22540.20,     22794.90,-320.90
,NIFTY INDIA MFG,     15055.70,     15022.60,     15163.85,     14509.70,     14699.75,-355.95
,Nifty200 Alpha 30,     24404.20,     24376.50,     24385.05,     23163.60,     23603.25,-800.95
,NiftyM150Momntm50,     60518.55,     60406.80,     60413.30,     57842.35,     58892.90,-1625.65
,Nifty50 USD,      9537.80,      9537.80,      9637.25,      9281.60,      9382.10,-155.70
,Nifty IT,     38036.15,     37936.95,     38833.75,     37297.55,     38252.95,216.80
,Nifty Next 50,     67839.85,     67537.15,     67991.90,     65300.05,     66360.55,-1479.30
,Nifty Bank,     59610.45,     59607.65,     59865.70,     57783.20,     58417.20,-1193.25
,NIFTY MIDCAP 100,     58432.00,     58435.70,     58650.15,     56126.55,     57120.80,-1311.20
,Nifty 500,     23079.50,     23067.50,     23160.10,     22337.30,     22611.30,-468.20
,Nifty 100,     25902.00,     25894.25,     26013.00,     25105.35,     25385.85,-516.15
,Nifty Midcap 50,     16693.25,     16709.60,     16757.35,     16038.55,     16349.40,-343.85
,Nifty Realty,       783.00,       785.10,       788.20,       746.85,       765.65,-17.35
,Nifty Infra,      9153.20,      9172.40,      9237.35,      8844.50,      8923.35,-229.85
,Nifty Energy,     35138.05,     35176.00,     35307.65,     33815.25,     34056.35,-1081.70
,Nifty FMCG,     51215.20,     51316.60,     51324.80,     49741.65,     50042.80,-1172.40
,Nifty MNC,     30419.45,     30179.40,     30422.00,     29521.30,     29783.85,-635.60
,Nifty Pharma,     21715.10,     21874.70,     21917.75,     21436.70,     21535.30,-179.80
,Nifty PSE,     10171.25,     10197.45,     10251.90,      9687.50,      9848.00,-323.25
,Nifty PSU Bank,      9019.35,      8969.30,      8996.40,      8387.95,      8517.20,-502.15
,Nifty Serv Sector,     33128.45,     33124.95,     33246.85,     32175.40,     32652.20,-476.25
,Nifty Auto,     26750.35,     26855.80,     27144.85,     25928.50,     26190.65,-559.70
,Nifty Metal,     11827.55,     11429.50,     11676.80,     11187.20,     11348.65,-478.90
,Nifty Media,      1385.20,      1381.90,      1383.45,      1347.75,      1360.20,-25.00
,NIFTY SMLCAP 100,     16879.10,     16767.70,     16780.50,     16155.35,     16418.15,-460.95
,Nifty 200,     14093.05,     14089.75,     14151.60,     13637.85,     13805.80,-287.25
,Nifty Div Opps 50,      6406.65,      6380.80,      6400.05,      6177.20,      6264.20,-142.45
,Nifty Commodities,      9649.95,      9561.10,      9658.70,      9300.40,      9330.65,-319.30
,Nifty Consumption,     11469.00,     11504.65,     11530.80,     11145.50,     11271.70,-197.30
,Nifty Fin Service,     27330.85,     27326.80,     27427.75,     26368.10,     26699.10,-631.75
,Nifty50 Div Point,       264.68,       264.68,       264.68,       264.68,       264.68,0.00
,Nifty100 Liq 15,      7287.50,      7290.90,      7341.30,      6971.55,      7091.80,-195.70
,Nifty CPSE,      6813.35,      6842.50,      6891.85,      6468.20,      6544.25,-269.10
,Nifty GrowSect 15,     11972.60,     12007.85,     12113.35,     11770.55,     11961.15,-11.45
,Nifty50 PR 2x Lev,     13735.15,     13745.95,     13860.65,     12922.90,     13194.50,-540.65
,Nifty50 PR 1x Inv,       207.15,       207.10,       213.30,       206.25,       211.25,4.10
,Nifty50 TR 2x Lev,     20577.50,     20593.70,     20765.55,     19360.65,     19767.55,-809.95
,Nifty50 TR 1x Inv,       169.40,       169.35,       174.45,       168.65,       172.75,3.35
,Nifty50 Value 20,     13226.65,     13209.75,     13244.75,     12848.55,     12981.10,-245.55
,Nifty Mid Liq 15,     15513.80,     15554.70,     15585.45,     14792.90,     15136.15,-377.65
,Nifty Pvt Bank,     28553.15,     28587.50,     28732.10,     28005.75,     28204.95,-348.20
,NIFTY100 Qualty30,      5806.60,      5802.75,      5810.60,      5596.20,      5682.00,-124.60
,Nifty GS 8 13Yr,      2968.08,      2968.62,      2968.63,      2968.62,      2968.63,0.55
,Nifty GS 10Yr,      2610.83,      2611.30,      2611.31,      2611.30,      2611.31,0.48
,Nifty GS 10Yr Cln,       886.06,       886.06,       886.06,       886.06,       886.06,0.00
,Nifty GS 4 8Yr,      3230.68,      3231.25,      3231.25,      3231.24,      3231.25,0.57
,Nifty GS 11 15Yr,      3236.33,      3236.96,      3236.96,      3236.95,      3236.95,0.62
,Nifty GS 15YrPlus,      3481.31,      3482.01,      3482.01,      3482.01,      3482.01,0.70
,Nifty GS Compsite,      3050.25,      3050.81,      3050.82,      3050.81,      3050.82,0.57
,NIFTY HEALTHCARE,     13893.85,     13991.40,     14022.60,     13746.00,     13802.30,-91.55
,NIFTY CONSR DURBL,     34387.55,     34552.55,     34984.15,     33563.20,     34232.10,-155.45
,NIFTY OIL AND GAS,     11791.70,     11776.25,     11826.60,     11407.15,     11454.30,-337.40
,NIFTY500 MULTICAP,     15868.90,     15852.80,     15909.50,     15345.95,     15541.85,-327.05
,NIFTY LARGEMID250,     16309.00,     16309.85,     16370.25,     15760.70,     15976.10,-332.90
,NIFTY MID SELECT,     13400.05,     13408.45,     13439.20,     12795.55,     13020.25,-379.80
,NIFTY TOTAL MKT,     12937.95,     12931.65,     12984.90,     12525.05,     12678.40,-259.55
,NIFTY MICROCAP250,     21268.75,     21278.40,     21424.40,     20724.00,     20973.20,-295.55
,NIFTY IND DIGITAL,      9018.65,      9007.10,      9129.95,      8746.60,      9015.50,-3.15
,Nifty Tata 25 Cap,     14901.10,     14854.80,     15023.10,     14477.50,     14743.40,-157.70
,Nifty MidSml Hlth,     41723.60,     41783.90,     41962.40,     40992.35,     41188.35,-535.25
,Nifty Multi Mfg,     15287.90,     15291.55,     15418.80,     14785.90,     14929.10,-358.80
,Nifty Multi Infra,     13719.50,     13748.95,     13826.40,     13267.40,     13405.70,-313.80
,BHARATBOND-APR30,      1560.23,      1560.54,      1560.54,      1560.53,      1560.53,0.30
,BHARATBOND-APR31,      1417.92,      1418.18,      1418.19,      1418.18,      1418.19,0.27
,BHARATBOND-APR32,      1287.96,      1288.21,      1288.21,      1288.20,      1288.21,0.25
,BHARATBOND-APR33,      1250.84,      1251.09,      1251.09,      1251.09,      1251.09,0.25
,Nifty Ind Defence,      8184.00,      8251.05,      8359.10,      7458.65,      7767.75,-416.25
,Nifty Ind Tourism,      7704.85,      7733.20,      7781.95,      7446.90,      7589.85,-115.00
,Nifty Capital Mkt,      4649.30,      4572.70,      4578.85,      4231.05,      4381.00,-268.30
,Nifty500Momentm50,     50783.85,     50524.15,     50582.05,     48377.30,     49219.65,-1564.20
,NiftyMS400 MQ 100,     46821.65,     46500.80,     46519.40,     44526.50,     45356.20,-1465.45
,NiftySml250MQ 100,     42081.35,     41815.40,     41919.25,     40300.05,     40893.40,-1187.95
,Nifty Top 10 EW,      9572.95,      9581.85,      9642.40,      9354.75,      9450.05,-122.90
,Nifty AQL 30,     22140.40,     22212.85,     22266.85,     21593.85,     21742.50,-397.90
,Nifty AQLV 30,     20838.00,     20888.40,     20939.70,     20322.25,     20489.10,-348.90
,Nifty EV,      2954.35,      2962.60,      2979.90,      2862.35,      2905.55,-48.80
