,27-May-2026
The Nifty witnessed an intraday movement of about 124.95 points.The closing index was 0.03 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 135899.66
, Traded Quantity (in Lakhs), 68384.39
, Number of Trades, 37352411
, Total Market Capitalisation (Rs. Crores), 47112216.44

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     23913.70,     23880.35,     23983.20,     23858.25,     23907.15,-6.55
,NIFTY50 EQL Wgt,     32754.50,     32731.45,     32934.25,     32727.60,     32902.90,148.40
,NIFTY100 EQL Wgt,     34163.35,     34173.60,     34554.60,     34168.10,     34507.30,343.95
,NIFTY100 LowVol30,     19717.05,     19726.90,     19773.40,     19700.90,     19731.40,14.35
,NIFTY Alpha 50,     53131.50,     53183.15,     53612.90,     53171.40,     53540.15,408.65
,NIFTY MIDCAP 150,     22795.50,     22827.30,     22932.90,     22814.70,     22884.90,89.40
,NIFTY SMLCAP 50,      9013.75,      9032.25,      9083.95,      9014.30,      9039.45,25.70
,NIFTY SMLCAP 250,     17009.55,     17050.75,     17129.45,     17035.15,     17103.45,93.90
,NIFTY MIDSML 400,     20658.45,     20694.35,     20789.75,     20684.90,     20750.50,92.05
,NIFTY200 QUALTY30,     20246.15,     20190.15,     20412.35,     20187.00,     20385.00,138.85
,Nifty FinSrv25 50,     28325.65,     28304.40,     28345.95,     28067.70,     28107.40,-218.25
,NIFTY AlphaLowVol,     26070.60,     26075.00,     26131.05,     26019.95,     26051.10,-19.50
,Nifty200Momentm30,     30773.90,     30792.70,     31013.00,     30790.25,     30963.95,190.05
,Nifty100ESGSecLdr,      4002.20,      3998.45,      4023.60,      3997.70,      4011.25,9.05
,NIFTY100 ESG,      4855.55,      4855.15,      4887.25,      4854.15,      4881.75,26.20
,NIFTY M150 QLTY50,     23899.30,     23951.75,     24171.45,     23941.15,     24145.80,246.50
,NIFTY INDIA MFG,     15954.30,     15987.40,     16188.20,     15985.15,     16163.05,208.75
,Nifty200 Alpha 30,     26247.90,     26262.20,     26426.05,     26253.10,     26389.25,141.35
,NiftyM150Momntm50,     63718.75,     63777.35,     64224.85,     63752.75,     64149.50,430.75
,Nifty50 USD,      8659.65,      8659.65,      8677.15,      8554.70,      8660.35,0.70
,Nifty IT,     28978.50,     28928.90,     29116.40,     28800.90,     28906.70,-71.80
,Nifty Next 50,     70945.10,     71043.90,     72143.50,     70996.25,     71957.20,1012.10
,Nifty Bank,     55092.90,     54992.95,     55221.70,     54738.60,     54853.85,-239.05
,NIFTY MIDCAP 100,     62298.90,     62392.95,     62704.10,     62357.80,     62558.85,259.95
,Nifty 500,     22897.20,     22895.75,     22999.45,     22886.45,     22967.40,70.20
,Nifty 100,     24910.10,     24888.35,     25014.30,     24877.95,     24970.85,60.75
,Nifty Midcap 50,     17741.15,     17762.60,     17843.00,     17709.30,     17754.95,13.80
,Nifty Realty,       782.00,       783.25,       793.75,       780.70,       784.55,2.55
,Nifty Infra,      9418.30,      9411.05,      9509.95,      9409.60,      9499.00,80.70
,Nifty Energy,     40814.60,     40562.50,     41638.30,     40509.50,     41535.75,721.15
,Nifty FMCG,     50227.35,     50320.75,     50467.50,     50053.90,     50141.90,-85.45
,Nifty MNC,     32169.80,     32197.60,     32885.20,     32189.25,     32818.35,648.55
,Nifty Pharma,     24659.20,     24747.50,     24822.65,     24608.45,     24716.00,56.80
,Nifty PSE,     10429.80,     10369.75,     10486.45,     10353.10,     10475.30,45.50
,Nifty PSU Bank,      8200.20,      8207.80,      8266.55,      8196.90,      8225.45,25.25
,Nifty Serv Sector,     30207.10,     30149.85,     30249.80,     30045.80,     30104.55,-102.55
,Nifty Auto,     26480.50,     26509.25,     26976.55,     26473.75,     26864.20,383.70
,Nifty Metal,     13492.55,     13556.70,     13873.75,     13555.75,     13718.30,225.75
,Nifty Media,      1375.15,      1380.75,      1432.35,      1378.20,      1417.15,42.00
,NIFTY SMLCAP 100,     18267.20,     18305.00,     18390.05,     18249.70,     18294.30,27.10
,Nifty 200,     13823.15,     13817.65,     13883.75,     13813.10,     13861.60,38.45
,Nifty Div Opps 50,      5930.40,      5919.40,      5972.65,      5918.15,      5965.45,35.05
,Nifty Commodities,     10395.30,     10388.75,     10530.15,     10385.70,     10503.20,107.90
,Nifty Consumption,     11399.15,     11410.10,     11490.90,     11408.30,     11473.60,74.45
,Nifty Fin Service,     25932.25,     25901.45,     25947.30,     25715.80,     25752.20,-180.05
,Nifty50 Div Point,        39.27,        39.27,        39.27,        39.27,        39.27,0.00
,Nifty100 Liq 15,      7191.55,      7191.30,      7234.75,      7187.05,      7225.55,34.00
,Nifty CPSE,      7149.10,      7078.55,      7195.35,      7062.60,      7181.80,32.70
,Nifty GrowSect 15,     10863.15,     10865.80,     10897.95,     10838.45,     10873.95,10.80
,Nifty50 PR 2x Lev,     11918.15,     11883.20,     11985.50,     11861.50,     11909.90,-8.25
,Nifty50 PR 1x Inv,       220.25,       220.60,       220.80,       219.65,       220.35,0.10
,Nifty50 TR 2x Lev,     17934.70,     17882.10,     18036.05,     17849.45,     17922.30,-12.40
,Nifty50 TR 1x Inv,       179.80,       180.05,       180.25,       179.30,       179.85,0.05
,Nifty50 Value 20,     12087.95,     12077.85,     12150.25,     12072.55,     12120.80,32.85
,Nifty Mid Liq 15,     17030.65,     17070.75,     17142.65,     16913.55,     16964.40,-66.25
,Nifty Pvt Bank,     26760.80,     26705.15,     26836.75,     26566.65,     26638.80,-122.00
,NIFTY100 Qualty30,      5560.65,      5547.85,      5594.05,      5546.30,      5586.30,25.65
,Nifty GS 8 13Yr,      2978.26,      2978.82,      2983.61,      2978.61,      2982.33,4.07
,Nifty GS 10Yr,      2608.29,      2608.80,      2612.19,      2608.79,      2611.41,3.12
,Nifty GS 10Yr Cln,       866.01,       866.01,       867.14,       866.00,       866.88,0.87
,Nifty GS 4 8Yr,      3250.52,      3251.10,      3254.60,      3251.10,      3251.57,1.05
,Nifty GS 11 15Yr,      3248.28,      3248.91,      3254.74,      3247.40,      3252.01,3.73
,Nifty GS 15YrPlus,      3444.93,      3445.65,      3453.44,      3445.65,      3449.89,4.96
,Nifty GS Compsite,      3055.67,      3056.25,      3060.35,      3056.25,      3059.13,3.46
,NIFTY HEALTHCARE,     15663.65,     15702.95,     15749.60,     15604.60,     15683.95,20.30
,NIFTY CONSR DURBL,     35294.95,     35304.00,     35651.55,     35276.95,     35518.75,223.80
,NIFTY OIL AND GAS,     11515.60,     11486.10,     11507.10,     11394.70,     11484.15,-31.45
,NIFTY500 MULTICAP,     16116.55,     16124.90,     16193.20,     16117.75,     16174.25,57.70
,NIFTY LARGEMID250,     16484.80,     16489.80,     16559.80,     16484.65,     16537.70,52.90
,NIFTY MID SELECT,     14675.60,     14704.70,     14760.35,     14651.20,     14705.95,30.35
,NIFTY TOTAL MKT,     12895.45,     12896.60,     12951.75,     12891.35,     12933.15,37.70
,NIFTY MICROCAP250,     23800.50,     23888.10,     23953.65,     23769.60,     23790.70,-9.80
,NIFTY IND DIGITAL,      7899.20,      7903.85,      7947.65,      7896.90,      7920.55,21.35
,Nifty Tata 25 Cap,     14285.15,     14291.65,     14474.50,     14288.00,     14438.15,153.00
,Nifty MidSml Hlth,     48430.70,     48444.20,     48586.40,     48246.50,     48401.45,-29.25
,Nifty Multi Mfg,     16346.95,     16378.95,     16510.25,     16377.35,     16490.55,143.60
,Nifty Multi Infra,     14503.35,     14507.25,     14641.75,     14499.15,     14622.65,119.30
,BHARATBOND-APR30,      1568.42,      1568.74,      1568.87,      1568.74,      1568.87,0.45
,BHARATBOND-APR31,      1422.41,      1422.69,      1422.71,      1422.69,      1422.71,0.30
,BHARATBOND-APR32,      1288.99,      1289.24,      1289.25,      1289.24,      1289.25,0.26
,BHARATBOND-APR33,      1249.76,      1250.01,      1250.01,      1250.01,      1250.01,0.25
,Nifty Ind Defence,      9244.35,      9256.40,      9307.90,      9214.65,      9253.75,9.40
,Nifty Ind Tourism,      7309.75,      7308.80,      7382.20,      7292.65,      7373.65,63.90
,Nifty Capital Mkt,      5671.50,      5681.45,      5697.10,      5567.60,      5577.50,-94.00
,Nifty500Momentm50,     53663.35,     53706.80,     54021.05,     53703.25,     53950.80,287.45
,NiftyMS400 MQ 100,     51219.60,     51301.85,     51594.85,     51253.15,     51436.75,217.15
,NiftySml250MQ 100,     45551.35,     45623.20,     45816.15,     45449.05,     45487.05,-64.30
,Nifty Top 10 EW,      8597.00,      8586.10,      8618.70,      8541.90,      8567.95,-29.05
,Nifty AQL 30,     22451.25,     22424.80,     22645.45,     22420.65,     22620.20,168.95
,Nifty AQLV 30,     20052.95,     19999.75,     20097.30,     19995.05,     20071.70,18.75
,Nifty EV,      3068.55,      3069.95,      3119.05,      3069.05,      3110.85,42.30
,Nifty HighBeta 50,      4241.70,      4253.95,      4300.90,      4251.20,      4284.05,42.35
,Nifty New Consump,     11014.30,     11021.00,     11112.05,     11016.95,     11097.05,82.75
,Nifty Corp MAATR,     39104.90,     39203.25,     39627.50,     39200.20,     39516.20,411.30
,Nifty Low Vol 50,     24362.75,     24364.85,     24439.20,     24353.50,     24406.85,44.10
,Nifty Mobility,     21668.50,     21696.00,     22022.90,     21687.15,     21963.55,295.05
,Nifty Qlty LV 30,     16293.35,     16243.30,     16328.30,     16239.45,     16313.05,19.70
,Nifty Sml250 Q50,     24849.55,     24911.25,     25030.85,     24871.60,     25011.00,161.45
,Nifty Top 15 EW,      9639.15,      9632.65,      9659.55,      9601.10,      9625.35,-13.80
,Nifty100 Alpha 30,     18002.40,     18020.25,     18357.70,     18017.00,     18304.80,302.40
,Nifty100 Enh ESG,      4888.60,      4888.15,      4920.40,      4887.05,      4915.05,26.45
,Nifty200 Value 30,     15612.60,     15562.80,     15780.00,     15561.05,     15762.50,149.90
,Nifty500 EW,     14376.10,     14399.95,     14472.45,     14388.15,     14462.80,86.70
,Nifty Multi MQ 50,     43023.35,     43101.45,     43289.30,     43065.75,     43230.20,206.85
,Nifty500 Value 50,     16736.65,     16696.25,     16906.70,     16695.65,     16889.45,152.80
,Nifty Top 20 EW,      8541.35,      8542.30,      8573.25,      8536.05,      8558.00,16.65
,Nifty CoreHousing,     15162.95,     15173.50,     15308.00,     15163.70,     15265.05,102.10
,Nifty FinSerExBnk,     32025.25,     32054.20,     32144.90,     31771.35,     31806.75,-218.50
,Nifty Housing,     12079.00,     12092.80,     12216.25,     12089.30,     12154.50,75.50
,Nifty IPO,      2123.60,      2129.85,      2132.15,      2117.75,      2125.65,2.05
,Nifty MS Fin Serv,     22600.35,     22632.00,     22712.05,     22329.15,     22367.25,-233.10
,Nifty MS Ind Cons,     17796.95,     17815.10,     17907.05,     17802.20,     17853.35,56.40
,Nifty MS IT Telcm,      9472.35,      9488.05,      9527.00,      9458.70,      9471.50,-0.85
,Nifty NonCyc Cons,     14732.35,     14738.25,     14845.90,     14736.20,     14822.00,89.65
,Nifty Rural,     15283.60,     15295.60,     15397.75,     15294.25,     15378.10,94.50
,Nifty Shariah 25,      7850.80,      7844.50,      7916.45,      7839.15,      7904.25,53.45
,Nifty Trans Logis,     23989.75,     24025.30,     24385.10,     24020.90,     24325.15,335.40
,Nifty50 Shariah,      4343.95,      4345.15,      4361.80,      4340.05,      4352.85,8.90
,Nifty500 LMS Eql,     17949.20,     17966.80,     18045.10,     17958.40,     18020.20,71.00
,Nifty500 Shariah,      6918.75,      6925.95,      6992.45,      6924.65,      6983.25,64.50
,Nifty500 Qlty50,     19861.20,     19849.95,     20078.15,     19846.45,     20052.65,191.45
,Nifty500 LowVol50,     22170.80,     22087.20,     22255.50,     22073.10,     22225.00,54.20
,Nifty500 MQVLv50,     31134.05,     31073.20,     31271.15,     31029.80,     31234.30,100.25
,Nifty500 Flexicap,      9740.75,      9747.70,      9815.25,      9744.45,      9803.35,62.60
,Nifty TMMQ 50,     44882.30,     44981.55,     45377.65,     44961.70,     45329.20,446.90
,Nifty FPI 150,      1546.50,      1545.65,      1553.65,      1545.40,      1551.65,5.15
,Nifty SME Emerge,     13762.25,     13770.05,     13804.65,     13752.10,     13771.00,8.75
,Nifty Internet,      1227.50,      1230.95,      1242.25,      1229.85,      1238.15,10.65
,Nifty Chemicals,     29745.20,     29744.65,     29877.15,     29679.75,     29704.30,-40.90
