,02-Jun-2026
The Nifty witnessed an intraday movement of about 327.8 points.The closing index was 0.43 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 143327.01
, Traded Quantity (in Lakhs), 55472.64
, Number of Trades, 40028030
, Total Market Capitalisation (Rs. Crores), 46273226.88

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     23382.60,     23229.15,     23556.95,     23229.15,     23483.55,100.95
,NIFTY50 EQL Wgt,     32136.25,     31897.35,     32366.55,     31897.35,     32291.80,155.55
,NIFTY100 EQL Wgt,     33638.90,     33414.95,     33824.85,     33319.45,     33776.95,138.05
,NIFTY100 LowVol30,     19332.60,     19205.50,     19470.30,     19179.25,     19417.60,85.00
,NIFTY Alpha 50,     51725.25,     51476.70,     51922.30,     51098.80,     51828.40,103.15
,NIFTY MIDCAP 150,     22265.20,     22148.45,     22329.75,     22025.90,     22305.85,40.65
,NIFTY SMLCAP 50,      8882.00,      8837.70,      8905.20,      8780.30,      8894.60,12.60
,NIFTY SMLCAP 250,     16857.10,     16778.60,     16963.25,     16683.35,     16946.60,89.50
,NIFTY MIDSML 400,     20276.15,     20173.85,     20355.35,     20061.95,     20336.90,60.75
,NIFTY200 QUALTY30,     19973.40,     19940.70,     20225.85,     19889.95,     20207.10,233.70
,Nifty FinSrv25 50,     27277.35,     27044.55,     27225.80,     26888.10,     27105.70,-171.65
,NIFTY AlphaLowVol,     25354.75,     25098.70,     25424.30,     25032.30,     25342.85,-11.90
,Nifty200Momentm30,     29995.30,     29756.00,     30068.30,     29615.35,     30001.35,6.05
,Nifty100ESGSecLdr,      3920.20,      3893.70,      3951.50,      3893.65,      3939.65,19.45
,NIFTY100 ESG,      4784.30,      4758.25,      4830.45,      4751.30,      4820.55,36.25
,NIFTY M150 QLTY50,     23590.30,     23487.80,     23770.35,     23388.60,     23748.20,157.90
,NIFTY INDIA MFG,     15715.55,     15603.75,     15776.00,     15582.10,     15750.10,34.55
,Nifty200 Alpha 30,     25518.75,     25385.00,     25515.85,     25151.55,     25454.75,-64.00
,NiftyM150Momntm50,     62298.90,     61938.55,     62315.55,     61525.75,     62206.75,-92.15
,Nifty50 USD,      8528.60,      8528.60,      8575.65,      8365.15,      8557.00,28.40
,Nifty IT,     29854.25,     30265.70,     31290.95,     30264.60,     31116.55,1262.30
,Nifty Next 50,     69921.85,     69481.20,     70175.50,     69158.80,     70115.80,193.95
,Nifty Bank,     53643.10,     53265.10,     53933.55,     53121.85,     53714.65,71.55
,NIFTY MIDCAP 100,     60827.95,     60479.35,     61018.55,     60170.35,     60942.00,114.05
,Nifty 500,     22437.95,     22302.05,     22563.25,     22253.00,     22521.10,83.15
,Nifty 100,     24393.05,     24234.15,     24555.60,     24217.40,     24491.30,98.25
,Nifty Midcap 50,     17279.20,     17162.95,     17318.70,     17088.20,     17287.30,8.10
,Nifty Realty,       768.20,       763.75,       777.45,       756.30,       773.35,5.15
,Nifty Infra,      9237.15,      9140.70,      9246.75,      9097.65,      9226.65,-10.50
,Nifty Energy,     40253.65,     39988.70,     40248.20,     39667.05,     40189.65,-64.00
,Nifty FMCG,     48247.70,     47996.40,     48668.65,     47867.65,     48612.80,365.10
,Nifty MNC,     31742.20,     31569.95,     31822.55,     31446.30,     31751.75,9.55
,Nifty Pharma,     24214.25,     24102.95,     24171.55,     23796.65,     24006.30,-207.95
,Nifty PSE,     10151.45,     10072.00,     10100.75,      9982.15,     10082.35,-69.10
,Nifty PSU Bank,      8005.50,      7972.75,      8070.85,      7913.15,      8049.15,43.65
,Nifty Serv Sector,     29519.00,     29340.20,     29765.65,     29321.50,     29659.05,140.05
,Nifty Auto,     25891.90,     25595.05,     26135.30,     25581.15,     26079.45,187.55
,Nifty Metal,     13506.55,     13470.55,     13629.15,     13450.00,     13557.65,51.10
,Nifty Media,      1427.55,      1417.05,      1433.95,      1406.20,      1429.25,1.70
,NIFTY SMLCAP 100,     17979.80,     17897.60,     18073.80,     17787.90,     18052.30,72.50
,Nifty 200,     13528.35,     13442.30,     13607.65,     13421.35,     13577.00,48.65
,Nifty Div Opps 50,      5853.45,      5851.30,      5921.90,      5841.75,      5912.95,59.50
,Nifty Commodities,     10242.10,     10177.00,     10247.15,     10124.05,     10222.65,-19.45
,Nifty Consumption,     11084.00,     10970.85,     11183.70,     10970.15,     11166.70,82.70
,Nifty Fin Service,     25008.45,     24782.45,     24973.25,     24663.25,     24861.25,-147.20
,Nifty50 Div Point,        42.90,        42.90,        42.90,        42.90,        42.90,0.00
,Nifty100 Liq 15,      7029.10,      6952.00,      7066.55,      6945.35,      7043.05,13.95
,Nifty CPSE,      6970.00,      6915.95,      6933.05,      6837.20,      6906.45,-63.55
,Nifty GrowSect 15,     10717.15,     10701.50,     10933.90,     10701.50,     10919.85,202.70
