,05-Jun-2026
The Nifty witnessed an intraday movement of about 233.7 points.The closing index was 0.21 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 128870.62
, Traded Quantity (in Lakhs), 57232.26
, Number of Trades, 36740162
, Total Market Capitalisation (Rs. Crores), 46168497.82

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     23416.55,     23478.95,     23516.35,     23282.65,     23366.70,-49.85
,NIFTY50 EQL Wgt,     32174.00,     32230.35,     32293.45,     31976.30,     32123.90,-50.10
,NIFTY100 EQL Wgt,     33682.50,     33787.50,     33884.85,     33542.95,     33711.20,28.70
,NIFTY100 LowVol30,     19309.15,     19347.30,     19367.40,     19234.45,     19304.30,-4.85
,NIFTY Alpha 50,     52299.55,     52467.55,     52634.75,     51919.60,     52203.05,-96.50
,NIFTY MIDCAP 150,     22315.95,     22399.45,     22461.40,     22172.60,     22251.80,-64.15
,NIFTY SMLCAP 50,      8914.25,      8938.15,      8969.55,      8863.90,      8909.55,-4.70
,NIFTY SMLCAP 250,     17052.70,     17112.75,     17156.75,     16987.65,     17054.50,1.80
,NIFTY MIDSML 400,     20385.90,     20460.65,     20513.65,     20272.95,     20347.85,-38.05
,NIFTY200 QUALTY30,     19952.40,     20055.90,     20070.30,     19807.50,     19862.75,-89.65
,Nifty FinSrv25 50,     27294.20,     27359.55,     27654.60,     27222.65,     27327.85,33.65
,NIFTY AlphaLowVol,     25375.60,     25456.90,     25545.70,     25342.85,     25410.50,34.90
,Nifty200Momentm30,     30043.20,     30139.20,     30316.05,     29893.55,     30013.05,-30.15
,Nifty100ESGSecLdr,      3921.45,      3934.40,      3941.10,      3904.40,      3920.25,-1.20
,NIFTY100 ESG,      4788.95,      4805.40,      4820.90,      4777.25,      4800.10,11.15
,NIFTY M150 QLTY50,     23695.00,     23826.00,     23850.20,     23571.50,     23628.55,-66.45
,NIFTY INDIA MFG,     15790.90,     15847.70,     15861.05,     15679.80,     15730.15,-60.75
,Nifty200 Alpha 30,     25615.80,     25711.45,     25851.70,     25458.65,     25604.05,-11.75
,NiftyM150Momntm50,     62356.55,     62652.10,     62862.10,     61976.25,     62241.75,-114.80
,Nifty50 USD,      8470.35,      8470.30,      8543.15,      8400.10,      8529.40,59.05
,Nifty IT,     29300.60,     29509.95,     29639.80,     28918.85,     29010.30,-290.30
,Nifty Next 50,     70010.95,     70311.50,     70568.95,     69814.80,     70191.95,181.00
,Nifty Bank,     54307.85,     54405.20,     54865.50,     54140.60,     54496.25,188.40
,NIFTY MIDCAP 100,     60966.65,     61179.00,     61359.15,     60508.15,     60754.90,-211.75
,Nifty 500,     22497.70,     22569.45,     22614.65,     22379.05,     22465.35,-32.35
,Nifty 100,     24427.70,     24500.20,     24544.60,     24301.50,     24397.30,-30.40
,Nifty Midcap 50,     17264.65,     17323.50,     17382.05,     17129.00,     17198.90,-65.75
,Nifty Realty,       764.60,       767.60,       779.05,       766.30,       768.90,4.30
,Nifty Infra,      9209.15,      9235.55,      9244.95,      9143.80,      9182.25,-26.90
,Nifty Energy,     40445.75,     40561.30,     40641.20,     40141.20,     40346.10,-99.65
,Nifty FMCG,     48216.00,     48277.70,     48369.25,     48026.40,     48302.45,86.45
