,01-Jul-2026
The Nifty witnessed an intraday movement of about 154.8 points.The closing index was 0.59 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 119242.61
, Traded Quantity (in Lakhs), 55617.48
, Number of Trades, 38104324
, Total Market Capitalisation (Rs. Crores), 47657755.04

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     23865.75,     23897.65,     24049.90,     23895.10,     24005.85,140.10
,NIFTY50 EQL Wgt,     32369.55,     32449.15,     32607.15,     32398.70,     32556.10,186.55
,NIFTY100 EQL Wgt,     34120.65,     34197.70,     34359.75,     34123.85,     34320.45,199.80
,NIFTY100 LowVol30,     19683.10,     19742.90,     19848.80,     19723.55,     19811.50,128.40
,NIFTY Alpha 50,     53700.30,     53799.95,     54016.25,     53537.35,     53609.80,-90.50
,NIFTY MIDCAP 150,     22774.25,     22827.15,     22906.15,     22775.05,     22823.50,49.25
,NIFTY SMLCAP 50,      9332.55,      9346.60,      9406.30,      9322.90,      9354.15,21.60
,NIFTY SMLCAP 250,     17720.30,     17778.35,     17900.85,     17776.60,     17801.55,81.25
,NIFTY MIDSML 400,     20932.80,     20988.25,     21083.85,     20961.05,     20995.45,62.65
,NIFTY200 QUALTY30,     19561.40,     19600.65,     19703.80,     19575.10,     19662.40,101.00
,Nifty FinSrv25 50,     28840.15,     28821.60,     29111.70,     28780.00,     29057.70,217.55
,NIFTY AlphaLowVol,     26293.10,     26367.75,     26509.65,     26342.05,     26481.30,188.20
,Nifty200Momentm30,     30912.90,     30987.00,     31087.70,     30824.80,     30893.75,-19.15
,Nifty100ESGSecLdr,      3997.45,      4003.30,      4036.60,      4002.70,      4028.35,30.90
,NIFTY100 ESG,      4844.25,      4853.05,      4886.60,      4849.35,      4878.90,34.65
,NIFTY M150 QLTY50,     23890.00,     23937.15,     24033.35,     23817.25,     23885.65,-4.35
,NIFTY INDIA MFG,     15876.00,     15927.85,     15962.30,     15831.45,     15890.30,14.30
,Nifty200 Alpha 30,     26253.80,     26297.10,     26413.85,     26210.75,     26265.50,11.70
,NiftyM150Momntm50,     63228.60,     63349.55,     63587.15,     62989.75,     63083.65,-144.95
,Nifty50 USD,      8736.10,      8736.10,      8832.80,      8692.30,      8726.90,-9.20
,Nifty IT,     26299.05,     26381.00,     26505.75,     25699.10,     25769.80,-529.25
,Nifty Next 50,     71629.45,     71792.90,     72166.85,     71590.60,     72100.65,471.20
,Nifty Bank,     57542.90,     57573.35,     58134.15,     57487.85,     58033.05,490.15
,NIFTY MIDCAP 100,     61797.70,     61935.35,     62138.50,     61838.40,     62008.80,211.10
,Nifty 500,     22995.65,     23038.65,     23144.10,     23032.95,     23111.65,116.00
,Nifty 100,     24915.60,     24953.20,     25105.95,     24940.30,     25065.10,149.50
,Nifty Midcap 50,     17594.90,     17643.55,     17730.80,     17636.20,     17716.10,121.20
,Nifty Realty,       829.55,       834.60,       860.65,       832.15,       859.25,29.70
,Nifty Infra,      9392.20,      9406.20,      9460.00,      9394.00,      9442.05,49.85
,Nifty Energy,     39740.50,     39827.35,     39936.70,     39674.55,     39764.85,24.35
,Nifty FMCG,     48794.20,     48981.90,     49880.50,     48881.60,     49806.80,1012.60
,Nifty MNC,     32514.35,     32601.90,     32911.55,     32576.60,     32851.15,336.80
,Nifty Pharma,     25326.40,     25416.90,     25591.30,     25133.25,     25182.70,-143.70
,Nifty PSE,      9980.70,     10009.50,     10046.50,      9954.90,     10016.35,35.65
,Nifty PSU Bank,      8492.65,      8525.20,      8596.45,      8476.70,      8576.60,83.95
,Nifty Serv Sector,     30504.70,     30504.70,     30744.55,     30502.75,     30662.60,157.90
,Nifty Auto,     26479.80,     26585.15,     26965.45,     26585.15,     26783.20,303.40
,Nifty Metal,     12519.15,     12515.30,     12522.90,     12375.05,     12394.75,-124.40
,Nifty Media,      1478.40,      1486.85,      1533.75,      1486.65,      1509.05,30.65
,NIFTY SMLCAP 100,     18863.10,     18901.25,     19023.70,     18891.85,     18931.05,67.95
,Nifty 200,     13803.40,     13826.20,     13899.75,     13820.80,     13879.05,75.65
,Nifty Div Opps 50,      5701.10,      5721.95,      5732.55,      5703.90,      5714.30,13.20
,Nifty Commodities,      9792.95,      9812.80,      9821.45,      9761.60,      9785.45,-7.50
,Nifty Consumption,     11514.90,     11553.15,     11704.90,     11549.95,     11692.60,177.70
,Nifty Fin Service,     26554.55,     26553.75,     26848.70,     26527.90,     26797.75,243.20
,Nifty50 Div Point,       117.69,       117.69,       117.69,       117.69,       117.69,0.00
,Nifty100 Liq 15,      7416.10,      7435.05,      7538.65,      7424.00,      7529.35,113.25
,Nifty CPSE,      6697.20,      6717.40,      6724.10,      6675.55,      6704.65,7.45
,Nifty GrowSect 15,     10565.20,     10623.75,     10704.15,     10585.00,     10594.00,28.80
,Nifty50 PR 2x Lev,     11795.90,     11825.70,     11975.90,     11824.05,     11932.65,136.75
,Nifty50 PR 1x Inv,       221.45,       221.20,       221.20,       219.80,       220.20,-1.25
,Nifty50 TR 2x Lev,     17868.10,     17913.20,     18140.75,     17910.70,     18075.20,207.10
,Nifty50 TR 1x Inv,       180.25,       180.05,       180.05,       178.90,       179.20,-1.05
,Nifty50 Value 20,     11855.95,     11869.30,     11922.65,     11854.00,     11884.40,28.45
,Nifty Mid Liq 15,     16271.55,     16317.10,     16505.60,     16311.25,     16463.60,192.05
,Nifty Pvt Bank,     27929.15,     27949.15,     28239.25,     27915.85,     28177.75,248.60
,NIFTY100 Qualty30,      5388.05,      5401.70,      5432.05,      5393.90,      5416.50,28.45
,Nifty GS 8 13Yr,      3044.80,      3045.35,      3046.78,      3040.71,      3041.33,-3.47
,Nifty GS 10Yr,      2671.21,      2671.72,      2672.58,      2665.80,      2668.35,-2.86
,Nifty GS 10Yr Cln,       881.27,       881.27,       881.56,       879.30,       880.15,-1.12
,Nifty GS 4 8Yr,      3321.04,      3321.64,      3322.70,      3318.36,      3318.55,-2.49
,Nifty GS 11 15Yr,      3368.88,      3369.51,      3373.19,      3365.06,      3366.10,-2.78
,Nifty GS 15YrPlus,      3588.35,      3589.07,      3601.08,      3589.06,      3596.46,8.11
,Nifty GS Compsite,      3139.24,      3139.81,      3143.52,      3137.76,      3138.87,-0.37
,NIFTY HEALTHCARE,     16139.75,     16192.80,     16284.30,     16041.45,     16060.95,-78.80
,NIFTY CONSR DURBL,     36442.85,     36734.25,     36996.65,     36401.35,     36446.90,4.05
,NIFTY OIL AND GAS,     11030.25,     11058.45,     11097.80,     11011.95,     11084.15,53.90
,NIFTY500 MULTICAP,     16280.55,     16315.65,     16379.30,     16314.05,     16356.85,76.30
,NIFTY LARGEMID250,     16476.35,     16507.95,     16565.55,     16494.75,     16543.60,67.25
,NIFTY MID SELECT,     14426.35,     14461.35,     14556.90,     14457.85,     14536.10,109.75
,NIFTY TOTAL MKT,     12978.50,     13004.00,     13060.00,     13001.35,     13042.10,63.60
,NIFTY MICROCAP250,     25143.95,     25243.35,     25380.95,     25156.20,     25185.05,41.10
,NIFTY IND DIGITAL,      7657.05,      7668.25,      7712.30,      7654.55,      7665.20,8.15
,Nifty Tata 25 Cap,     13974.00,     14046.70,     14075.85,     13871.05,     13884.55,-89.45
,Nifty MidSml Hlth,     50169.15,     50348.40,     50810.65,     49781.75,     49846.00,-323.15
,Nifty Multi Mfg,     16212.35,     16270.55,     16324.30,     16188.80,     16227.15,14.80
,Nifty Multi Infra,     14645.55,     14676.25,     14743.60,     14664.35,     14715.00,69.45
,BHARATBOND-APR30,      1607.34,      1607.66,      1607.66,      1607.22,      1607.22,-0.12
,BHARATBOND-APR31,      1461.58,      1461.86,      1461.86,      1461.86,      1461.86,0.28
,BHARATBOND-APR32,      1327.89,      1328.15,      1328.15,      1328.15,      1328.15,0.26
,BHARATBOND-APR33,      1287.12,      1287.37,      1287.37,      1287.36,      1287.36,0.24
,Nifty Ind Defence,      9519.40,      9552.80,      9597.05,      9513.15,      9555.45,36.05
,Nifty Ind Tourism,      8012.75,      8027.40,      8078.60,      8023.00,      8068.50,55.75
,Nifty Capital Mkt,      5447.40,      5458.95,      5560.25,      5458.20,      5554.50,107.10
,Nifty500Momentm50,     53937.65,     54108.35,     54315.60,     53751.55,     53835.75,-101.90
,NiftyMS400 MQ 100,     50605.40,     50715.10,     50934.05,     50386.90,     50470.40,-135.00
,NiftySml250MQ 100,     46410.35,     46554.30,     46848.75,     46333.50,     46397.25,-13.10
,Nifty Top 10 EW,      8507.45,      8519.40,      8566.85,      8513.00,      8525.40,17.95
,Nifty AQL 30,     22530.70,     22596.40,     22742.85,     22577.60,     22725.30,194.60
,Nifty AQLV 30,     19921.05,     19965.35,     20044.20,     19934.20,     20026.40,105.35
,Nifty EV,      3103.35,      3103.00,      3119.40,      3073.60,      3093.00,-10.35
,Nifty HighBeta 50,      4296.00,      4309.90,      4356.20,      4300.45,      4352.50,56.50
,Nifty New Consump,     11398.15,     11438.15,     11569.55,     11435.65,     11565.45,167.30
,Nifty Corp MAATR,     38053.05,     38177.85,     38456.95,     38139.30,     38310.05,257.00
