SYMBOL,SYMBOL P/E,ADJUSTED P/E
PENINLAND,53.83,52.81
THERMAX,63.12,63.12
WHEELS,16.82,16.82
RIIL,135.26,135.26
PREMIERPOL,22.59,22.59
RAYMOND,40.24,40.24
SHREDIGCEM,45.72,45.72
SESHAPAPER,16.70,16.70
SMLISUZU,18.73,18.73
SUNDRMFAST,37.06,37.06
FACT,,636.85
EXIDEIND,52.04,52.04
ELECON,36.89,36.89
CRISIL,54.68,54.68
LMW,154.63,154.63
PEL,69.54,
NELCO,215.81,215.81
MASTEK,18.56,18.80
MAHSCOOTER,61.51,82.31
LUMAXIND,44.41,44.41
TRENT,130.77,130.77
KECL,64.85,275.73
CUMMINSIND,45.70,45.70
KCP,10.14,9.20
JAYBARMARU,31.02,31.02
JBCHEPHARM,38.50,38.50
INFY,24.35,24.35
INDIAGLYCO,30.08,30.08
IONEXCHANG,37.03,37.03
IFBIND,41.94,41.94
IGPL,13.52,13.52
HIMATSEIDE,22.37,22.37
GNFC,14.21,14.21
BPCL,11.08,10.84
BHARATFORG,62.77,57.10
BASF,32.21,32.75
FORCEMOT,17.16,25.23
ATUL,41.48,41.48
ARVIND,32.35,32.35
ACC,14.49,15.01
TATAMOTORS,11.33,11.10
SCI,8.68,8.68
MRPL,824.12,824.12
LINDEINDIA,126.81,126.81
HINDPETRO,12.07,12.07
ESCORTS,33.41,33.37
RELINFRA,41.50,
BAJAJHLDNG,87.64,87.64
ASHOKLEY,22.22,22.52
ZUARIIND,,596.99
VOLTAS,43.34,43.34
TITAN,94.81,94.81
TATASTEEL,62.54,53.78
SUNDARMFIN,33.72,32.44
SPIC,13.55,13.55
VEDL,8.29,9.14
SBIN,9.06,9.06
RELIANCE,23.71,23.71
PFIZER,32.14,32.14
NOCIL,25.80,25.80
BOSCHLTD,45.39,45.41
DRREDDY,17.66,17.66
BATAINDIA,44.37,61.68
DEEPAKFERT,18.38,18.38
CHAMBLFERT,17.36,17.36
CARBORUNIV,73.96,95.09
MAHSEAMLES,11.71,11.71
HINDOILEXP,14.75,18.17
DICIND,30.39,31.31
COROMANDEL,34.01,39.18
BALMLAWRIE,18.68,18.68
VINDHYATEL,17.26,17.26
MOTOGENFIN,42.49,42.49
ASIANPAINT,62.48,58.35
RAMCOCEM,61.75,127.56
PGHL,35.66,34.37
ABREL,122.14,122.14
BEML,52.94,52.94
ADOR,29.20,25.98
CENTENKA,13.72,13.72
TATACHEM,106.59,63.80
TORNTPHARM,58.82,58.82
VTL,16.43,16.43
SUNDROP,545.97,488.66
FEDERALBNK,11.58,11.58
EPL,20.53,20.34
VLSFINANCE,5.30,5.30
SUPREMEIND,54.21,54.21
SRF,69.40,69.40
BIRLACABLE,91.84,91.84
BALRAMCHIN,29.52,29.52
AEGISLOG,40.35,40.35
WEIZMANIND,21.87,21.87
UNICHEMLAB,,41.47
BBOX,38.74,29.93
HONAUT,60.49,60.49
JTEKTINDIA,40.39,40.65
SAURASHCEM,201.79,201.79
RANEHOLDIN,9.17,86.54
PRECOT,13.81,17.17
TATAELXSI,47.50,47.50
SUNPHARMA,35.51,34.43
SHREYANIND,5.37,5.37
SANDESH,6.21,6.24
HCC,18.39,
ASHIMASYN,6.55,6.55
APOLLOHOSP,75.47,75.47
ARE&M,18.32,19.81
ADANIENT,57.77,66.39
IVP,14.10,14.10
BALKRISIND,29.39,29.39
INDBANK,17.43,17.43
GINNIFILA,77.48,77.48
EICHERMOT,38.50,38.50
RAJSREESUG,12.57,12.57
GVT&D,88.98,88.98
NEULANDLAB,53.85,67.51
ONGC,7.51,7.26
ZENSARTECH,26.80,26.80
TIL,9.34,196.18
TAINWALCHM,47.45,47.45
BERGEPAINT,58.35,58.35
BANARISUG,56.24,56.24
JINDALPOLY,10.81,18.31
KPIL,33.07,33.07
JYOTISTRUC,61.66,61.66
IGARASHI,57.70,57.70
BSL,14.48,14.48
BLUEDART,59.65,59.65
NKIND,938.44,938.44
JAYNECOIND,35.69,35.69
MUNJALSHOW,16.90,16.90
APCOTEXIND,31.73,31.73
SOTL,23.25,23.25
HSCL,39.60,39.60
RCF,29.47,31.34
RANASUG,9.37,9.37
KARURVYSYA,9.37,9.37
DECCANCE,419.96,73.63
ARENTERP,19.21,19.21
