Symbol,Series,LTP,%chng,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
GRAPHITE,EQ,843,14.81,16470.16,362.93,3060.95
HDFCBANK,EQ,687.1,-2.26,1059108.24,391.74,2716.6
COFORGE,EQ,1845,-5.38,81711.08,108.37,1996.14
ICICIBANK,EQ,1389.1,-0.74,996976.65,142.29,1981.76
ADANIENT,EQ,3104.7,5.13,420199.47,53.21,1640.67
WHEELS,EQ,2450,16.31,5986.09,66.09,1562.97
RELIANCE,EQ,1279,-1.23,1730811.7,121.53,1562.79
ANTELOPUS,EQ,1149.5,4.58,4041.91,130.72,1546.49
MVELECTRO,EQ,912,3.26,2488.18,164.8,1520.85
BSE,EQ,3289.8,-3.07,134185.7,43.66,1436.95
PAYTM,EQ,1751.5,4.88,112377.61,82.48,1432.4
INFY,EQ,1035,-4.34,420027.06,135.3,1404.83
IFCI,EQ,89.1,-3.79,24006.34,1565.03,1401.8
CHENNPETRO,EQ,1596.5,9.51,23773.71,84,1315.66
MOLBIO,EQ,1268.8,13.54,14621.65,94.14,1178.5
LT,EQ,3922.6,-0.6,539697.23,29.55,1175.33
DLF,EQ,655.1,-2.96,162157.89,170,1133.6
BHARTIARTL,EQ,1814.7,-1.59,1132463.73,55.74,1016.56
COALINDIA,EQ,431,2.56,265613.59,227.92,985.53
ADANIPORTS,EQ,1775,3.8,408952.74,55.28,970.93
BAJFINANCE,EQ,1039.3,-1.4,647028.09,92.45,968.37
PCJEWELLER,EQ,13.92,2.96,13517.06,6977.55,963.6
MRPL,EQ,184,6.38,32247.82,474.91,866.14
TATASTEEL,EQ,188.75,2.5,235626.58,459.85,862.68
HAL,EQ,5000.5,-0.61,334420.94,16.7,842.75
NETWEB,EQ,4898,-3.72,29116.6,16.96,838.37
IDEA,EQ,15.52,0.65,168148.39,5391.62,837.32
AXISBANK,EQ,1238.5,-0.51,385575.42,66.8,830.41
HINDCOPPER,EQ,530.5,-0.44,51300.62,151.03,812.62
TCS,EQ,2208,-2.11,798873.72,33.7,743.91
CUPID,EQ,279.3,1.64,37556.37,267.78,732.58
MCX,EQ,3350,0.24,85422.27,21.75,730.03
ETERNAL,EQ,320.6,-0.31,309390.24,226,722.17
SBIN,EQ,1000.5,-0.74,923523.29,70.91,712.63
ADANIPOWER,EQ,214.9,3.12,414428.09,332.28,708.28
PINELABS,EQ,175.05,3.24,20198.29,406.68,707.14
MARUTI,EQ,12618,-0.18,396713.17,5.35,674.7
SWIGGY,EQ,282.75,2.56,78047.87,235.46,658.05
SHAREINDIA,EQ,188.5,10.62,4099.73,288.68,550.45
LALITHAA,EQ,336.4,5.54,18828.64,160.94,538.26
WABAG,EQ,2125,5.81,13276.61,24.42,523.6
GVT&D,EQ,4673,-1.62,119650.55,10.95,517.22
DIXON,EQ,13845,-1.81,84651.28,3.69,516.02
HBLENGINE,EQ,728,-0.44,20179.79,67.05,503
LENSKART,EQ,691.55,-0.6,120281.72,72.62,502.24
JSL,EQ,786.2,6.42,64815.87,63.67,495.89
MAXHEALTH,EQ,1037.5,4.48,100977.44,45.91,473.42
GLAND,EQ,3019.8,2.04,49816.63,15.61,468.04
HDFCLIFE,EQ,514,-3.71,111671.07,90.24,466.98
LTM,EQ,4412,-0.41,130869.33,10.51,461.1
VBL,EQ,407,0.32,137666.32,112.84,453.04
KOTAKBANK,EQ,414,-1.25,411832.96,108.86,452.25
TEMPSENS,EQ,589,3.09,4937.75,75.43,447.81
KALYANKJIL,EQ,607.6,-0.82,62749.95,72.98,445.54
BEL,EQ,406,-1.11,296777.02,108.99,445.26
APOLLO,EQ,420.5,0.62,15625.76,104.25,440.74
RAYMOND,EQ,811.45,-5.4,5402.13,54.97,439.63
TVSMOTOR,EQ,4151.1,0.43,197213.41,10.44,431.88
FCL,EQ,58.2,-0.41,6777.4,710.52,426.45
BIOCON,EQ,395,0.69,64372.92,102.71,408.66
GROWW,EQ,194.45,-0.4,121990.09,207.99,403.38
ASTEC,EQ,766.5,15.65,1707.98,53.57,403.09
SYMBIOTEC,EQ,1130.25,3.3,7262.55,35.21,397.92
NTPC,EQ,334.5,1.12,324353.48,117.95,395.04
FINCABLES,EQ,1346,3.36,20585.64,28.71,388.38
HINDZINC,EQ,605.4,1.66,255800.81,63.13,380.88
STLTECH,BE,865.9,5,44499.57,43.82,374.46
SHRIRAMFIN,EQ,1029,0,242122.01,36.41,373.95
MEESHO,EQ,217,2.81,100359.64,171.58,369.13
ONESOURCE,EQ,1540,-2.5,17659.63,24.11,368.78
BHEL,EQ,433.7,2.74,151017.09,84.87,365.73
DIVISLAB,EQ,9488,-0.91,251876.59,3.85,365.48
KEI,EQ,4669.5,-0.6,44640.7,7.73,359.85
ULTRACEMCO,EQ,10900,-0.99,321200.3,3.26,355.9
LAURUSLABS,EQ,1937,-0.51,104658.48,18.22,352.82
BANKBARODA,EQ,234.1,-1.06,121061.59,148.88,350.42
NATIONALUM,EQ,377.6,1.77,69351.22,91.39,347.17
APOLLOHOSP,EQ,8967,1.47,128931.7,3.76,335.59
DATAPATTNS,EQ,4911.8,-0.42,27498.21,6.82,334.98
HINDALCO,EQ,1026.9,1.77,230767.69,32.56,333.49
M&M,EQ,3150,-0.32,391711.58,10.51,329.91
ADANIGREEN,EQ,1315,1.78,215843.29,24.91,329.34
PERSISTENT,EQ,5419,-2.54,85484.73,5.99,325.39
CGPOWER,EQ,926.95,1.78,146036.34,34.55,318.82
TBZ,EQ,530.05,-4.55,3537.06,57.42,317.32
POWERGRID,EQ,265.85,0.04,247256.55,117.39,313.08
WOCKPHARMA,EQ,2240,0.72,36396.77,13.95,312.87
SILVERBEES,EQ,222.29,0.51,32216.37,139.18,310.01
ONGC,EQ,234.02,-0.84,294403.69,127.81,302.34
VAML,EQ,445.65,2.07,174266.44,67.48,300.05
EMAMILTD,EQ,369.5,1.61,16128.68,80.4,298.15
POWERINDIA,EQ,31580,1.43,140759.52,0.94,295.22
MUTHOOTFIN,EQ,2815,-2.92,113013.38,10.27,290.3
DEEPA,EQ,202.5,4.18,1946.52,144.53,289.27
SARDAEN,EQ,547.5,5.32,19292.87,52.69,287.11
IIFL,EQ,609.5,-2.95,25926.97,46.81,286.11
HINDUNILVR,EQ,1945,-1.77,456995.5,14.55,283.49
AEGISLOG,EQ,1341,5.75,47069.1,21.22,283.08
GRASIM,EQ,3300,-0.21,224577.45,8.51,280.37
HEROMOTOCO,EQ,5218,-2.17,104433.68,5.32,278.89
EIEL,EQ,204.3,4.13,3586.08,131.87,275.63
ADANIENSOL,EQ,1423.3,1.11,174063.11,19.14,272.96
ATHERENERG,EQ,1580,0.13,62329.92,16.69,264.45
ITC,EQ,260.8,-1.02,326843.93,100.65,263.67
SUNPHARMA,EQ,1864.9,-1.11,447441.44,13.97,261.66
NAVINFLUOR,EQ,8749,0.21,44868.62,2.94,260.74
HCLTECH,EQ,1229.8,-3.7,333726.53,20.99,259.36
SAIL,EQ,186.4,0.16,76992.99,137.68,258.11
RAIN,EQ,222.75,2.27,7492.1,114.35,257.76
TMCV,EQ,444,-2.64,163511.89,56.81,255.2
AGIIL,EQ,284,4.55,3549.93,87.61,254.77
TITAN,EQ,5005,0.36,444336.97,5.02,250.8
JIOFIN,EQ,231,-0.92,152532.57,107.74,249.36
EICHERMOT,EQ,7734.5,-0.17,212328.81,3.19,245.98
SUZLON,EQ,45.45,-0.11,62473.69,525.13,240.61
LIQUIDBEES,EQ,999.99,0,11109.24,23.7,237.02
VEDL,EQ,272.5,0.18,106558.07,86.35,236.22
MIDHANI,EQ,463.7,-2.79,8686.96,50.87,236.11
ANGELONE,EQ,299.05,0.35,27334.26,78.57,234.49
ABB,EQ,7401.5,0.2,156843.98,3.1,229.15
JINDWORLD,EQ,55.67,0.25,5581.49,408.92,227.36
LICI,EQ,407.5,-0.79,515487.31,54.91,224.16
SAILIFE,EQ,1679.9,1.99,35666.56,13.33,223.43
NIACL,EQ,206.1,0.43,33965.28,107.99,221.84
INDIGO,EQ,4975,-0.5,192366.63,4.43,220.82
LUMINO,EQ,106.29,-1.69,3237.1,204.14,218.78
MANAPPURAM,EQ,320,-1.54,30058.76,68.44,218.03
MILKYMIST,EQ,267,-3.25,20554.82,81.08,215.7
RESPONIND,EQ,168.5,13.67,4492.35,127.29,214.43
PCBL,EQ,334.9,1.86,13177.06,63.65,213.78
POLICYBZR,EQ,1800,-1.42,83285.08,11.78,212.55
TMPV,EQ,303,-1.13,111599.13,69.72,211.46
SOLARINDS,EQ,22355,-0.45,202290.52,0.94,210.97
TATAPOWER,EQ,370,1.22,118227.56,56.68,209.67
INDNIPPON,EQ,1346.7,19.99,3046.43,16.13,205.65
NIFTYBEES,EQ,268.25,-0.67,65888.68,75.37,202.46
HINDPETRO,EQ,348.9,0.55,74239.73,57.86,201.98
WIPRO,EQ,167,-2.62,165408.01,120.02,201.28
TECHM,EQ,1508,-3.27,147804.17,13.29,200.47
WELCORP,EQ,2604.7,0.2,68709.55,7.6,198.47
CHOLAFIN,EQ,1829,0.31,156200.8,10.79,197.32
TEGA,EQ,1680,2.92,12621.45,11.53,194.56
MARICO,EQ,813.9,-1.21,105675.79,23.9,194.32
JSWSTEEL,EQ,1310,0.98,320354.47,14.85,193.67
COCHINSHIP,EQ,1556,1.82,40935.37,12.54,193.02
CUMMINSIND,EQ,5170.5,2.59,143326.26,3.73,191.9
SANSERA,EQ,4110,1.89,25647.87,4.71,191.85
BANDHANBNK,EQ,171.7,0.07,27662.79,111.3,191.72
PFC,EQ,351.4,-1.26,115965.58,54.27,191.34
GOLDBEES,EQ,125.72,-0.1,58014.2,150.54,189.35
