SECTOR_SLUG,SECTOR_NAME,EXCHANGE,SYMBOL,COMPANY_NAME,MARKET_CAP_CR,PE
"agriculture","Agriculture","NSE","BBTC","Bombay Burmah Trdg.","10,406","8.37"
"agriculture","Agriculture","NSE","JKPAPER","JK Paper","7,068","21.8"
"agriculture","Agriculture","NSE","WSTCSTPAPR","West Coast PaperMill","4,122","17.94"
"agriculture","Agriculture","NSE","KSCL","Kaveri Seed","4,057","13.71"
"agriculture","Agriculture","NSE","JUBLCPL","Jubilant Agri & Con.","2,939","22.63"
"agriculture","Agriculture","NSE","VENKEYS","Venky's (India)","2,137","12.32"
"agriculture","Agriculture","BSE","KSSMART","KS Smart Techno.","1,921","--"
"agriculture","Agriculture","NSE","SESHAPAPER","Seshasayee Paper","1,462","14.77"
"agriculture","Agriculture","NSE","ANDHRAPAP","Andhra Paper","1,183","42.82"
"agriculture","Agriculture","NSE","TNPL","TN Newsprints &Paper","1,067","4.31"
"agriculture","Agriculture","NSE","BSHSL","Bombay Super Hybrid","945","32.92"
"agriculture","Agriculture","BSE","NRAIL","NR Agarwal Inds.","892","14.36"
"agriculture","Agriculture","BSE","META","String Metaverse","875","7.21"
"agriculture","Agriculture","NSE","PDMJEPAPER","Pudumjee Paper Prod.","870","9.55"
"agriculture","Agriculture","NSE","FRESHARA","Freshara Agro Export","845","23.32"
"agriculture","Agriculture","BSE","APIS","Apis India","773","30.52"
"agriculture","Agriculture","NSE","KUANTUM","Kuantum Papers","739","17.63"
"agriculture","Agriculture","BSE","EMAMIPAP","Emami Paper Mills","670","7.15"
"agriculture","Agriculture","BSE","SATIA","Satia Industries","615","15.04"
"agriculture","Agriculture","BSE","SUBAM","Subam Papers","597","55.33"
"agriculture","Agriculture","BSE","PRABHATAM","Prabhatam Infra Vent","585","--"
"agriculture","Agriculture","NSE","RAMANEWS","Shree Rama News","489","--"
"agriculture","Agriculture","NSE","KOTYARK","Kotyark Industries","480","25.58"
"agriculture","Agriculture","NSE","MGEL","Mangalam Global Ent.","469","9.93"
"agriculture","Agriculture","NSE","BBTCL","B&B Triplewall Cont.","461","22.34"
"agriculture","Agriculture","BSE","MEGAMONT","Megamont","448","--"
"agriculture","Agriculture","NSE","HARRMALAYA","Harrisons Malayalam","402","13.8"
"agriculture","Agriculture","NSE","SHEETAL","Sheetal Universal","389","33.8"
"agriculture","Agriculture","BSE","TRANSCHEM","Transchem","376","55.88"
"agriculture","Agriculture","NSE","ORIENTPPR","Orient Paper & Inds.","365","--"
"agriculture","Agriculture","BSE","PAKKA","Pakka","342","9.11"
"agriculture","Agriculture","BSE","RUCHIRA","Ruchira Papers","317","9.51"
"agriculture","Agriculture","NSE","GENUSPAPER","Genus Paper & Boards","303","32.16"
"agriculture","Agriculture","NSE","NATHBIOGEN","Nath Bio-Genes (I)","296","8.07"
"agriculture","Agriculture","BSE","TIERRA","Tierra Agrotech","275","--"
"agriculture","Agriculture","BSE","SCAGRO","SC Agrotech","252","19.59"
"agriculture","Agriculture","NSE","WORTHPERI","Worth Peripherals","249","16.23"
"agriculture","Agriculture","BSE","SAPPL","Shree AjitPulp&Paper","244","8.11"
"agriculture","Agriculture","NSE","STARPAPER","Star Paper Mills","242","7.38"
"agriculture","Agriculture","NSE","SHREYANIND","Shreyans Industries","200","--"
"agriculture","Agriculture","BSE","SIPAPER","South India Paper","191","12.98"
"agriculture","Agriculture","NSE","NIKITA","Nikita Greentech","181","16.27"
"agriculture","Agriculture","BSE","INDOUS","Indo US Bio-Tech","162","14.18"
"agriculture","Agriculture","BSE","MSL","Mangalam Seeds","157","19.12"
"agriculture","Agriculture","BSE","WESTERNBIO","Ecoboard Industries","145","--"
"agriculture","Agriculture","BSE","SKPMIL","Shree Krishna Papers","143","7.34"
"agriculture","Agriculture","NSE","RAJPUTANA","Rajputana Biodiesel","143","15.83"
