SECTOR_SLUG,SECTOR_NAME,EXCHANGE,SYMBOL,COMPANY_NAME,MARKET_CAP_CR,PE
"agriculture","Agriculture","NSE","BBTC","Bombay Burmah Trdg.","9,839","7.66"
"agriculture","Agriculture","NSE","JKPAPER","JK Paper","7,415","23.36"
"agriculture","Agriculture","NSE","WSTCSTPAPR","West Coast PaperMill","4,720","20.46"
"agriculture","Agriculture","NSE","KSCL","Kaveri Seed","3,603","14.26"
"agriculture","Agriculture","NSE","JUBLCPL","Jubilant Agri & Con.","3,177","24.56"
"agriculture","Agriculture","NSE","VENKEYS","Venky's (India)","2,385","13.58"
"agriculture","Agriculture","BSE","KSSMART","KS Smart Techno.","1,949","--"
"agriculture","Agriculture","NSE","SESHAPAPER","Seshasayee Paper","1,535","15.62"
"agriculture","Agriculture","NSE","ANDHRAPAP","Andhra Paper","1,429","52.52"
"agriculture","Agriculture","BSE","NRAIL","NR Agarwal Inds.","1,118","17.05"
"agriculture","Agriculture","NSE","TNPL","TN Newsprints &Paper","1,052","4.03"
"agriculture","Agriculture","BSE","META","String Metaverse","1,049","8.05"
"agriculture","Agriculture","NSE","FRESHARA","Freshara Agro Export","1,045","28.84"
"agriculture","Agriculture","NSE","PDMJEPAPER","Pudumjee Paper Prod.","938","10.2"
"agriculture","Agriculture","NSE","BSHSL","Bombay Super Hybrid","892","31.16"
"agriculture","Agriculture","BSE","EMAMIPAP","Emami Paper Mills","675","6.98"
"agriculture","Agriculture","BSE","APIS","Apis India","674","26.61"
"agriculture","Agriculture","NSE","KUANTUM","Kuantum Papers","673","18.22"
"agriculture","Agriculture","BSE","SATIA","Satia Industries","665","--"
"agriculture","Agriculture","BSE","MEGAMONT","Megamont","614","--"
"agriculture","Agriculture","BSE","PRABHATAM","Prabhatam Infra Vent","614","--"
"agriculture","Agriculture","BSE","SUBAM","Subam Papers","541","49.7"
"agriculture","Agriculture","NSE","MGEL","Mangalam Global Ent.","517","10.9"
"agriculture","Agriculture","NSE","RAMANEWS","Shree Rama News","465","--"
"agriculture","Agriculture","NSE","BBTCL","B&B Triplewall Cont.","462","13.74"
"agriculture","Agriculture","BSE","TRANSCHEM","Transchem","453","70.44"
"agriculture","Agriculture","NSE","SHEETAL","Sheetal Universal","419","36.4"
"agriculture","Agriculture","NSE","KOTYARK","Kotyark Industries","369","18.9"
"agriculture","Agriculture","NSE","ORIENTPPR","Orient Paper & Inds.","360","--"
"agriculture","Agriculture","BSE","PAKKA","Pakka","351","9.47"
"agriculture","Agriculture","BSE","TIERRA","Tierra Agrotech","341","--"
"agriculture","Agriculture","NSE","HARRMALAYA","Harrisons Malayalam","334","12.47"
"agriculture","Agriculture","BSE","RUCHIRA","Ruchira Papers","322","9.56"
"agriculture","Agriculture","NSE","GENUSPAPER","Genus Paper & Boards","285","30.3"
"agriculture","Agriculture","NSE","NATHBIOGEN","Nath Bio-Genes (I)","279","7.58"
"agriculture","Agriculture","NSE","STARPAPER","Star Paper Mills","265","8.27"
"agriculture","Agriculture","BSE","SAPPL","Shree AjitPulp&Paper","249","5.84"
"agriculture","Agriculture","BSE","SIPAPER","South India Paper","227","15.27"
"agriculture","Agriculture","NSE","WORTHPERI","Worth Peripherals","225","14.96"
"agriculture","Agriculture","BSE","SCAGRO","SC Agrotech","202","15.7"
"agriculture","Agriculture","NSE","AARADHYA","Aaradhya Disposal","189","31.15"
"agriculture","Agriculture","BSE","FARMPEACE","Farm Peace","179","23.72"
"agriculture","Agriculture","NSE","SHREYANIND","Shreyans Industries","174","--"
"agriculture","Agriculture","BSE","WESTERNBIO","Ecoboard Industries","164","--"
"agriculture","Agriculture","NSE","NIKITA","Nikita Greentech","164","14.75"
"agriculture","Agriculture","BSE","INDOUS","Indo US Bio-Tech","162","13.32"
"agriculture","Agriculture","BSE","MSL","Mangalam Seeds","154","16.9"
"agriculture","Agriculture","NSE","OSWALSEEDS","Shree Oswal Seeds","151","10.93"
"agriculture","Agriculture","BSE","RDGAIL","Rukmani Devi Garg","146","16.49"
"agriculture","Agriculture","NSE","RAJPUTANA","Rajputana Biodiesel","140","15.41"
"agriculture","Agriculture","NSE","MAGNUM","Magnum Ventures","133","--"
"agriculture","Agriculture","BSE","JKAGRI","JK Agri Genetics","130","--"
"agriculture","Agriculture","BSE","SKPMIL","Shree Krishna Papers","122","5.12"
"agriculture","Agriculture","NSE","SHEEL","Sheel Biotech","122","10.39"
"agriculture","Agriculture","BSE","KANELOIL","Kanel Industries","113","--"
"agriculture","Agriculture","BSE","BAPACK","B&A Packaging India","104","12.92"
"agriculture","Agriculture","BSE","SCOOBEEDAY","Scoobee Day Garments","104","--"
"agriculture","Agriculture","BSE","NAPL","Naturite Agro Prod.","102","--"
"agriculture","Agriculture","NSE","NARMADA","Narmada Agrobase","102","29.37"
"agriculture","Agriculture","BSE","SPTRSHI","Saptarishi Agro Inds","99","--"
"agriculture","Agriculture","BSE","NATHIND","Nath Industries","97","14.12"
"agriculture","Agriculture","BSE","GANGAPA","Ganga Papers India","93","51.85"
"agriculture","Agriculture","NSE","USASEEDS","Upsurge Seeds OfAgri","90","11.99"
"agriculture","Agriculture","NSE","UTKAL","Utkal Speciality Ind","86","11.76"
"agriculture","Agriculture","BSE","SIMRAN","Simran Farms","86","16.28"
"agriculture","Agriculture","BSE","GPAPL","Gujarat Peanut &Agri","80","10.77"
"agriculture","Agriculture","BSE","CELLA","Cella Space","73","7.63"
"agriculture","Agriculture","BSE","HFIL","Himalaya Food Intnl.","69","32.1"
"agriculture","Agriculture","NSE","RCDL","Rajgor Castor Deriv.","66","5.25"
